id,triggerDesc,actionDesc,deviceCategory
B7MJR6kN,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
B7kiYGN9,WHEN every time your Android device's battery drops below 15%,", THEN turn on a device",Generic/Other
B7zGEnNW,WHEN every single day at a specific time set by you,", THEN make your lights quickly blink the color of your choice",Light
B87fsKG6,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
B8mfPtu6,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
B8pe5BUg,WHEN every single day at a specific time set by you,", THEN turn off your hue lights",Light
BACKJVUT,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
BAPH2azq,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
BAY5Ku2r,WHEN the scene is changed to the selected scene,", THEN set your aura to night scene",Light
BAZELyRF,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn your lights off",Light
BAdrChei,WHEN every time you enter an area you specify,", THEN turn your a/c on with a set temperature, mode and fan level",Thermostat/Heating
BC39KF2y,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
BC5mWjze,WHEN Aura detects motion,", THEN set your aura to home scene",Light
BCWmqfSV,WHEN a selected member arrives,", THEN set your aura to home scene",Light
BDXVQgrE,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
BE4uRmzJ,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
BEhFUXSq,WHEN your Arlo device detects motion,", THEN turn a wemo switch on",Generic/Other
BEmMVxh3,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN provide comfort feedback for the device that you specified",Air/Climate
BEpiwCRH,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
BFmdPNQ2,WHEN every time you are tagged you in a new photo,", THEN make your lights quickly blink the color of your choice",Light
BGLkiZwE,WHEN a selected member leaves,", THEN set your aura to guardian scene",Light
BGNyYf7F,WHEN every time the Nest Protect you specify detects dangerous smoke levels,", THEN turn on your hue lights",Light
BGshvcnZ,WHEN a set number of minutes before the starting time of any event on your Google Calendar,", THEN turn on a slow color loop effect for your hue lights",Light
BGuV5c7K,WHEN every time your WeMo Light Switch is turned off,", THEN turn off your hue lights",Light
BHE7Tncu,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN change the color of your hue lights",Light
BHSv7Qpt,WHEN a selected member arrives,", THEN set your aura to away scene",Light
BHSwTufD,WHEN the scene is changed to the selected scene,", THEN set your aura to night scene",Light
BHUPna2Q,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
BHZ6GCuD,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turns off the selected wemo light",Light
BHbXufJg,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
BHru3bQ4,WHEN every single day at a specific time set by you,", THEN turn your lights on",Light
BJ3GTuPg,WHEN Aura detects motion,", THEN set your aura to away scene",Light
BJPefd9c,WHEN Aura detects motion when set to Night scene,", THEN set your aura to home scene",Light
BJS7QVqz,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
BKQnZiD8,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
BKjWRNVG,WHEN once a year on the date and time you specify,", THEN change the color of your hue lights to match the dominant colors found in an image you specify",Light
BM7hVrjL,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN set a scene on your hue lights",Light
BM8Xz9ND,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
BMASm9qs,WHEN a selected member arrives,", THEN set your aura to away scene",Light
BMeU8V29,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
BMpTagVw,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
BNaJRgHK,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
BNekJ5dj,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn off your air conditioner",Air/Climate
BNpEeSiX,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN change the color of your hue lights",Light
BQFENXiU,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
BQVctFm2,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN unlock your smartthings devices that support unlocking",Generic/Other
BQtw2LHX,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
BRDSgfzx,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
BSD2BuCf,WHEN every single day at a specific time set by you,", THEN turn off the device/group of your choosing",Generic/Other
BSF67wQq,WHEN you say “Ok Google” to the Google Assistant followed by a phrase like “Post a tweet saying ‘New high score,", THEN set a nest thermostat to the temperature you specify",Thermostat/Heating
BSNPysBu,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN dock your robot",Generic/Other
BSnpseHb,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
BSwbk2JN,WHEN a selected member arrives,", THEN set your aura to home scene",Light
BT4LqSvY,WHEN only on specific days of the week at the time you provide,", THEN turn on your smartthings devices that support switching on",Generic/Other
BTDUu2YC,WHEN Aura detects motion when set to Night scene,", THEN set your aura to home scene",Light
BTWDk9eS,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn off your hue lights",Light
BTvxVG2i,WHEN every time you enter an area you specify,", THEN order your home to go back to default schedule",Thermostat/Heating
BURKCEeq,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
BUS37rmK,WHEN every time you add an item to your To Do List,", THEN change the color of your hue lights",Light
BUiWh9ZH,WHEN every time you enter an area you specify,", THEN turn a wemo switch on",Generic/Other
BUnmshZA,WHEN within 15 minutes of the sunrise in your location,", THEN turn off your hue lights",Light
BVQFk4ri,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn on your hue lights",Light
BVhH8UwR,WHEN every single day at a specific time set by you,", THEN turn a wemo light switch on",Light
BW4LMnAS,WHEN a selected member arrives,", THEN set your aura to home scene",Light
BWTQ5AsE,WHEN there is a new membership for your channel,", THEN set your lights to a specified brightness",Light
BWTf6uBz,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn off your daikin ac unit",Air/Climate
BWa6PZtb,WHEN every time you exit an area you specify,", THEN execute the indicated scene",Air/Climate
BWs7zyta,WHEN every single day at a specific time set by you,", THEN turn on your hue lights",Light
BX8yCJEn,WHEN every time IFTTT receives a specific event from Apilio,", THEN activate standby mode on the selected heatmiser thermostat",Thermostat/Heating
BXF38xh7,WHEN every time your timer goes off,", THEN briefly turn your hue lights off THEN back on",Light
BXJirAtz,WHEN every time your WeMo Light Switch is turned off,", THEN turn a wemo light switch off",Light
BXKRUZn2,WHEN every time you press the button,", THEN set your thermostat to manual mode",Thermostat/Heating
BXLpJQyv,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
BXf76dyC,WHEN a selected member arrives,", THEN set your aura to guardian scene",Light
BXkU8R7v,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to home scene",Light
BY2aEbAk,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
BYMsZmDh,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set your honeywell thermostat to hold a temperature for a specified period of time",Thermostat/Heating
BYeQzijM,WHEN every time you press the button,", THEN change the color of your hue lights",Light
BZHTyUWK,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene",Light
BZYnteQb,WHEN a selected member arrives,", THEN set your aura to home scene",Light
BZg4Lrd3,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene",Light
BZhszaCJ,WHEN every time you press the button,", THEN provide comfort feedback for the device that you specified",Air/Climate
BaSGzdXL,WHEN every time your Android device connects to a WiFi network you specify,", THEN turn on a device",Generic/Other
BbMqcVNt,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene",Light
BcAns5mB,WHEN a selected member leaves,", THEN set your aura to guardian scene",Light
BcKp23zr,WHEN Aura detects motion when set to Night scene,", THEN set your aura to guardian scene",Light
BcQ3yuJs,WHEN every time your timer goes off,", THEN make your lights slowly breathe the color of your choice",Light
BcXkMBm2,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene",Light
