triggerDesc,actionDesc,freeOrLocked,isTriggerEco,isActionEco,isRuleEco
IF a smart device is switched off,", THEN turns off the air purifier.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turns off the air purifier.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turns off the air purifier.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turns off the air purifier.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turns off the air purifier.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turns off the air purifier.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN change the AC unit mode to sleep.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN change the AC unit mode to sleep.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN change the AC unit mode to sleep.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN change the AC unit mode to sleep.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN change the AC unit mode to sleep.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN change the AC unit mode to sleep.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN change the AC unit mode to sleep.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN change the AC unit mode to sleep.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN change the AC unit mode to sleep.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN change the AC unit mode to sleep.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN stop the air conditioner in a chosen room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN stop the air conditioner in a chosen room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN stop the air conditioner in a chosen room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN stop the air conditioner in a chosen room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN stop the air conditioner in a chosen room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN stop the air conditioner in a chosen room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN stop the air conditioner in a chosen room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN stop the air conditioner in a chosen room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN stop the air conditioner in a chosen room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN stop the air conditioner in a chosen room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn on the air conditioner in a specified room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn on the air conditioner in a specified room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn on the air conditioner in a specified room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn on the air conditioner in a specified room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn on the air conditioner in a specified room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn on the air conditioner in a specified room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn on the air conditioner in a specified room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn on the air conditioner in a specified room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn on the air conditioner in a specified room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn on the air conditioner in a specified room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN deactivate the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN deactivate the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN deactivate the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN deactivate the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN deactivate the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN deactivate the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN deactivate the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN deactivate the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN deactivate the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN deactivate the indicated timer.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN start the air conditioner in a specified room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN start the air conditioner in a specified room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN start the air conditioner in a specified room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN start the air conditioner in a specified room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN start the air conditioner in a specified room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN start the air conditioner in a specified room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN start the air conditioner in a specified room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN start the air conditioner in a specified room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN start the air conditioner in a specified room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN start the air conditioner in a specified room in comfort mode.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN disable eco mode on the AC unit.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN disable eco mode on the AC unit.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN disable eco mode on the AC unit.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN disable eco mode on the AC unit.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN disable eco mode on the AC unit.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN disable eco mode on the AC unit.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN disable eco mode on the AC unit.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN disable eco mode on the AC unit.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN disable eco mode on the AC unit.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN disable eco mode on the AC unit.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN turn on the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn on the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn on the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn on the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn on the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn on the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn on the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn on the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn on the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn on the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN set the mode of the air conditioner to turbo.",FREE,NEUTRAL,NON-ECO,NON-ECO
IF a smart device is switched off,", THEN set the mode of the air conditioner to turbo.",FREE,NEUTRAL,NON-ECO,NON-ECO
IF a smart device is switched off,", THEN set the mode of the air conditioner to turbo.",FREE,NEUTRAL,NON-ECO,NON-ECO
IF a smart device is switched off,", THEN set the mode of the air conditioner to turbo.",FREE,NEUTRAL,NON-ECO,NON-ECO
IF a smart device is switched off,", THEN set the mode of the air conditioner to turbo.",FREE,NEUTRAL,NON-ECO,NON-ECO
IF a smart device is switched off,", THEN set the mode of the air conditioner to turbo.",FREE,NEUTRAL,NON-ECO,NON-ECO
IF a smart device is switched off,", THEN set the mode of the air conditioner to turbo.",FREE,NEUTRAL,NON-ECO,NON-ECO
IF a smart device is switched off,", THEN set the mode of the air conditioner to turbo.",FREE,NEUTRAL,NON-ECO,NON-ECO
IF a smart device is switched off,", THEN set the mode of the air conditioner to turbo.",FREE,NEUTRAL,NON-ECO,NON-ECO
IF a smart device is switched off,", THEN set the mode of the air conditioner to turbo.",FREE,NEUTRAL,NON-ECO,NON-ECO
IF a smart device is switched off,", THEN enable the air conditioner.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN enable the air conditioner.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN enable the air conditioner.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN enable the air conditioner.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN enable the air conditioner.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN enable the air conditioner.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN enable the air conditioner.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN enable the air conditioner.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN enable the air conditioner.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN enable the air conditioner.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn on the air conditioner.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn on the air conditioner.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn on the air conditioner.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn on the air conditioner.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn on the air conditioner.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn on the air conditioner.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn on the air conditioner.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn on the air conditioner.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn on the air conditioner.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN turn on the air conditioner.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN start the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN start the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN start the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN start the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN start the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN start the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN start the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN start the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN start the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN start the AC unit.",FREE,NEUTRAL,NEUTRAL,NEUTRAL
IF a smart device is switched off,", THEN stop the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN stop the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN stop the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN stop the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN stop the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN stop the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN stop the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN stop the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
IF a smart device is switched off,", THEN stop the air conditioner in a specified room.",FREE,NEUTRAL,ECO,ECO
