triggerDesc,percentage,triggerType
this trigger fires when my total connect security panel receives an alarm,0.07,external_service
this trigger fires when radon level of a device falls below the provided threshold.,0.07,other
this trigger fires when specified pir kumosensor detects movement.,0.14,motion
this trigger fires when specified pir kumosensor or regular motion sensor tag detects no movement for a time-out period.,0.07,motion
"this trigger fires when specified water sensor tag detects water with its resistive sensor, or when you short circuit its tip.",0.07,other
this trigger fires when tado⁠° switches to away mode.,0.14,device_state
this trigger fires when tado⁠° switches to home mode.,0.14,device_state
this trigger fires when the alarm for a specific mode is triggered.,0.28,external_service
this trigger fires when the ambient temperature read on your device is above or below the configured value.,0.14,weather
this trigger fires when the cost of the device attached to your wemo insight switch rises above the daily value you specify.,0.07,other
this trigger fires when the device attached to your wemo insight switch is turned on longer than the minutes you specify.,0.28,device_state
this trigger fires when the device connected to fibaro home center  is opened.,0.07,device_state
this trigger fires when the device turns off.,0.14,device_state
this trigger fires when the device turns on.,0.14,device_state
this trigger fires when the door sensor is open.,0.28,other
this trigger fires when the home security device enters away mode.,0.07,external_service
this trigger fires when the home security device enters home mode,0.07,external_service
this trigger fires when the humidity measured from your awair device dropped below the threshold you specified for more than 30 seconds.,0.07,weather
this trigger fires when the humidity measured from your awair device rises above the threshold you specified for more than 30 seconds.,0.07,weather
this trigger fires when the outdoor temperature rises above a given value.,0.07,weather
this trigger fires when the price of electricity goes above a user-defined price threshold.,0.14,pricing
this trigger fires when the radon level for a device rises above the provided threshold.,0.07,other
this trigger fires when the remaining life of any of your filtrete smart air filter drops below your chosen percentage.,0.07,weather
this trigger fires when the selected swann security device detects  motion.,0.07,external_service
this trigger fires when the specified device is set to heat mode,0.07,device_state
this trigger fires when the specified device/group is turned off.,0.28,device_state
this trigger fires when the specified device/group is turned on.,0.28,device_state
this trigger fires when the specified product turns off.,0.07,device_state
this trigger fires when the specified product turns on.,0.07,device_state
this trigger fires when the temperature measured from your awair drops below the threshold you specified for more than 30 seconds.,0.07,weather
this trigger fires when there is a new membership for your channel.,0.07,other
this trigger fires when there is a new super chat message in a live chat during a live stream on your channel.,0.14,device_state
this trigger fires when time-of-day peak rates start or end.,0.28,schedule
this trigger fires when water leak detected.,0.07,device_state
this trigger fires when you say “ok google” to the google assistant followed by a phrase like “post a tweet saying ‘new high score.’” **use the $ symbol to specify where you'll say the text ingredient,0.7,audio
"this trigger fires when you say “ok google” to the google assistant followed by a phrase you choose. for example, say “ok google, i’m running late” to text a family member that you’re on your way home.",6.32,audio
this trigger fires when you send a text message with a key phrase to the @ifttt bot on telegram.,0.14,external_service
this trigger fires when you start exporting solar power to the grid.,0.07,weather
this trigger fires when your air quality goes above or below the target level.,0.21,weather
this trigger fires when your arlo device detects motion.,0.7,motion
this trigger fires when your blink camera detects motion.,0.21,motion
this trigger fires when your ewelink support 1-channel switch is turned on or off.,0.07,device_state
this trigger fires when your hubitat device turns off.,0.21,device_state
this trigger fires when your hubitat device turns on.,0.21,device_state
this trigger fires when your robot completes a job.,0.07,other
this trigger fires when your robot starts a job.,0.07,device_state
this trigger fires whenever a motion sensor detects movement nearby.,0.07,motion
"this trigger fires whenever the carbon intensity changes for the comed service territory, use this trigger to help lower your carbon footprint by reducing your energy during high carbon times",0.14,weather
this trigger fires whenever the measured relative humidity (rh) is above or below the threshold.,0.14,weather
this trigger fires whenever the measured volatile organic compounds (vocs) is above or below the threshold.,0.07,weather
this trigger fires whenever you press the selected button on your wink relay.,0.14,manual_interaction
"this trigger fires within 15 minutes of the ending time of an event on your google calendar that contains a specific keyword or phrase. the search looks at the event’s title, description, and location.",0.07,external_service
"this trigger fires within 15 minutes of the ending time of an event on your google calendar that contains a specific keyword or phrase. the search looks at the event’s title, description, and location. ingredient will be based on the zone set in google.",0.21,external_service
this trigger fires within 15 minutes of the ending time of an event on your google calendar.,0.21,external_service
this trigger fires within 15 minutes of the ending time of an event on your google calendar. note: the time in the ingredient will be based on the timezone set in google calendar.,0.07,external_service
this trigger fires within 15 minutes of the sunrise in your location.,2.46,schedule
this trigger fires within 15 minutes of the sunset in your location.,7.02,schedule
this trigger is fired from the assigned pusher on your festina watch.,0.14,external_service
this trigger is fired from the assigned pusher on your jaguar watch.,0.14,external_service
this trigger is fired from the assigned pusher on your kronaby watch.,0.14,external_service
this trigger is fired from the assigned pusher on your lotus watch.,0.14,external_service
this trigger is run every time a specific flow has been started on homey. in order to use this applet you need to be an owner on your homey and have the ifttt homey app installed.,0.42,external_service
"this trigger monitors changes in the current weather condition. when one of those conditions is met the trigger fires. currently only these simple conditions are supported: rain, snow, cloudy, clear. ",2.04,weather
this trigger monitors changes in tomorrow’s forecasted weather condition.,0.14,weather
this trigger monitors the ubibot device's built-in humidity sensor readings and fires whenever the humidity rises above or drops below the value you provide. ,0.14,weather
this trigger monitors the ubibot device's built-in temperature sensor readings and fires whenever the temperature rises above or drops below the value you provide.,0.21,weather
this trigger monitors the ubibot device's external ds18b20 temperature probe 1's readings and fires whenever the temperature rises above or drops below the value you provide (available for ws1 and ws1-pro devices).  ,0.14,weather
this trigger monitors your local humidity and fires every time the humidity rises above the value you specify.,0.21,weather
this trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,1.69,weather
this trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,1.83,weather
this trigger monitors your local uv levels and fires every time the uv index rises above the value you specify (0-16).,0.07,schedule
this trigger will only start when a specific value of a specific sensor of your aura air device is reached,0.07,weather
trigger an applet when the door is locked,0.07,device_state
trigger an applet when the door is unlocked,0.07,device_state
use this trigger to fire something when your electricity price falls or rises past your set threshold and between your preferred time settings.,0.35,pricing
"when motion sensor detected motion or no motion, the switchbot motion sensor will try to trigger the service.",0.14,motion
when the smart button of the lawnmower has pressed once,0.07,manual_interaction
"whenever a preset temperature and/or humidity change detected, switchbot thermometer & hygrometer (the meter) will try to trigger the service. e.g. if the temperature is too high, turn on ac with the switchbot hub plus (the hub plus).",0.28,weather
