id,triggerDesc,actionDesc
AHzxL2WZ,WHEN a selected member arrives,", THEN set your aura to guardian scene"
AJPrv7BN,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN change the color of your hue lights"
AJk2EvxN,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to home scene"
AKBSTQM3,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene"
AKQbDx4B,WHEN a selected member arrives,", THEN set your aura to guardian scene"
AKaQ2rzh,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set a scene on your hue lights"
AKaynHv7,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene"
AKwbhFYS,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene"
AMBpjRPA,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene"
AMHujS7k,WHEN every time you exit an area you specify,", THEN set a nest thermostat to the temperature you specify"
AMgqvbsp,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene"
AMp7q6ix,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene"
AMzRw3YF,WHEN you tap the 'Night mode' or 'Day mode' buttons in the Eight App,", THEN set a nest thermostat to the temperature you specify"
ANGCFaWf,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN activate the specified scene"
ANGyY6bh,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn a wemo insight switch on"
ANLPHbva,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene"
ANh4bs7A,WHEN every time your Android device connects to a WiFi network you specify,", THEN turn on your hue lights"
ANhzBciV,WHEN Aura detects motion,", THEN set your aura to away scene"
APCsKX5h,WHEN every single day at a specific time set by you,", THEN turn off your hue lights"
APGDAqLc,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN toggle your hue lights on or off"
APGh9j8t,WHEN every single day at a specific time set by you,", THEN turn on your hue lights"
APLuctgD,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN open the garage door you specify"
APNVrCA4,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off"
APqrAkKn,WHEN it's time for prayer,", THEN set your lights to a pre-defined scene"
APtHWngD,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set the thermostat into an indefinite hold with the specified temperature"
AQ5EKa6d,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn on the device/group of your choosing"
AQUGFjhs,WHEN within 15 minutes of the sunset in your location,", THEN turn on your hue lights"
AQdb5TyX,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene"
AQxpPNBt,WHEN every time you post a new tweet with a specific hashtag,", THEN briefly turn your hue lights off THEN back on"
AR5kLZQa,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to home scene"
AR7YdFHS,WHEN every time you press the button,", THEN turn on a device"
ARGQMBSz,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to night scene"
ART3dNhv,WHEN every time your lock is locked by a specific person,", THEN turn on your hue lights"
ARmYqL3s,WHEN every time your Android device disconnects from a WiFi network you specify,", THEN turn off your air conditioner"
AS8EeHrQ,WHEN every time IFTTT receives a specific event from Apilio,", THEN switch off your light"
ASDqQHbT,WHEN Aura detects motion,", THEN set your aura to guardian scene"
ASgXEVUY,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN close the garage door you specify"
ASkuhiT3,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene"
AT5JWHUj,WHEN a selected member arrives,", THEN set your aura to guardian scene"
ATBwhWu9,WHEN a selected member leaves,", THEN set your aura to home scene"
ATLi4n6E,WHEN every time you exit an area you specify,", THEN turn off your hue lights"
ATj3Zv7Q,WHEN a Motion Sensor detects motion,", THEN turn on the device/group of your choosing"
AUEDFzH4,WHEN every time you add an item to your To Do List,", THEN set a nest thermostat to the temperature you specify"
AUNvQTzr,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to home scene"
AUR3nXYD,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene"
AUSEB7md,WHEN a selected member arrives,", THEN set your aura to away scene"
AUVqwjZt,"WHEN once an hour at :00, :15, :30, or :45 minutes past the hour",", THEN set the heating mode to schedule"
AUXMyiRP,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene"
AUZPR8qC,WHEN a selected member arrives,", THEN set your aura to home scene"
AUjmuPKG,WHEN Aura detects motion,", THEN set your aura to guardian scene"
AVZpi8za,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene"
AVvgi6kB,WHEN time-of-day peak rates start or end,", THEN change the color of your hue lights"
AWwtqavH,WHEN only on specific days of the week at the time you provide,", THEN dim or brighten your hue lights to a value between 0-100"
AWyj2Qux,WHEN Aura detects motion,", THEN set your aura to guardian scene"
AX4pPEws,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene"
AXRT2GZt,WHEN every time a specific user you are subscribed to makes a new video public,", THEN set your lights to a specified brightness"
AXUxpiuN,WHEN Aura detects motion,", THEN set your aura to guardian scene"
AXzNy2Sw,WHEN the scene is changed to the selected scene,", THEN set your aura to home scene"
AYqc9QAC,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene"
AZC5FEgP,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene"
AZDwAHQv,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene"
AZVTAzpf,WHEN a new IoT Podcast episode is published,", THEN change the color of your hue lights"
Aa3Q5rqD,WHEN every time the carbon dioxide rises above a value you specify,", THEN change the color of your hue lights"
Aa5jTUhH,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN change the color of your lights"
AaE48KDn,WHEN Aura detects motion when set to Night scene,", THEN set your aura to away scene"
AaLAEC9J,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene"
AaMRsLhZ,WHEN only on specific days of the week at the time you provide,", THEN turn on your air conditioner and set target temperature, ac operation mode and air volume settings"
AafhQkq7,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene"
Aap28etM,WHEN only on specific days of the week at the time you provide,", THEN change the color of your hue lights"
AarHLfjz,WHEN only on specific days of the week at the time you provide,", THEN turn on your hue lights"
AbBaA8iM,WHEN every time you enter an area you specify,", THEN turn on your hue lights"
AbDdF6VU,WHEN every single day at a specific time set by you,", THEN turn off your hue lights"
AbUDurqt,WHEN motion is detected,", THEN turn on the selected light(s)"
Ac49J2XG,WHEN every time a new item is added to the feed you specify,", THEN change the color of your hue lights to match the dominant colors found in an image you specify"
Ac6JVmgY,WHEN every time you enter an area you specify,", THEN turn on your hue lights"
AcXZv6NU,WHEN at least one family member has come home,", THEN turn on the selected light(s)"
Ad96e7Ww,WHEN every time you press the button,", THEN turn your hive light off for a specific duration"
AdUbMn2L,"WHEN once an hour at :00, :15, :30, or :45 minutes past the hour",", THEN toggle a device"
AdVLxpTP,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene"
Ads7kvLD,WHEN for an account that is on a dynamic pricing plan such as the Residential Hourly Pricing program or other real time market rates whenever the average price changes,", THEN turn a wemo switch on"
Ae9nkN87,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene"
AeSqi5Pp,WHEN a selected member arrives,", THEN set your aura to away scene"
AeZb2A7T,WHEN only on specific days of the week at the time you provide,", THEN turn your lights on"
Aec7Bz6y,WHEN a selected member arrives,", THEN set your aura to away scene"
AeihB6Uy,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene"
AeqA6Ssi,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set a nest thermostat to the temperature you specify"
AgDzRwCs,WHEN every single day at a specific time set by you,", THEN lock a specific device"
AgFwB9Pr,WHEN only on specific days of the week at the time you provide,", THEN change the color of your hue lights"
AgHfGSXh,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene"
AgHhPmD6,WHEN within 15 minutes of the sunset in your location,", THEN turn your hive light on for a specific duration"
AgUkYuy5,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene"
AgWipwR7,WHEN there is a new Super Chat message in a live chat during a live stream on your channel,", THEN set your lights to a pre-defined scene"
Agcam7BC,WHEN every single day at a specific time set by you,", THEN briefly turn your hue lights off THEN back on"
Agj4Eb8P,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene"
AgwL9r8D,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on"
Ah475DWU,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene"
AhLEuq7v,WHEN a selected member arrives,", THEN set your aura to guardian scene"
AhcB9ikF,WHEN every time your WeMo Motion sensor detects new motion,", THEN turn a wemo light switch on"
Ai3fQzcX,WHEN only on specific days of the week at the time you provide,", THEN turn off the device/group of your choosing"
AiJ9TnhR,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene"
AigcenAN,WHEN every time the your SmartThings device detects brightness below a value you specify,", THEN turn on the device/group of your choosing"
AitN8Hz7,WHEN a selected member arrives,", THEN set your aura to guardian scene"
Aitg56xS,WHEN a particular cell is updated within the spreadsheet you specify,", THEN toggle a device"
AizgHC2t,WHEN the price of electricity changes,", THEN change the color of your hue lights"
Ajn7FwhY,WHEN every time your WeMo Light Switch is turned on or off with a long press over two seconds,", THEN toggle a wemo light switch on or off"
AkFKhmpg,WHEN Aura detects motion,", THEN set your aura to away scene"
AkUXNwMf,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene"
AkqidrLc,WHEN once a year on the date and time you specify,", THEN change the color of your hue lights"
AmBEfdbL,WHEN every single day at a specific time set by you,", THEN trigger the specified bot to turn off the switch"
AmTH8vnp,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN change brightness of a dimmer to a specified level/percentage"
AmbzHKLp,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene"
AmgjfuNK,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene"
AmqFPYTf,WHEN Aura detects motion,", THEN set your aura to away scene"
Amwyg5hE,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN toggle a wemo switch on or off"
An7HzULt,WHEN a set number of minutes before the starting time of an event on your Google Calendar that contains a specific keyword or phrase,", THEN toggle a wemo light switch on or off"
AnBTcP9r,WHEN a selected member arrives,", THEN set your aura to away scene"
AnEfBuAQ,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene"
AnHk7m4W,WHEN a selected member arrives,", THEN set your aura to away scene"
AnHuK6ds,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn on your hue lights"
AnNR4x5P,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene"
Ap5rfKYT,WHEN a Contact Sensor closes,", THEN set the light to specified color"
ApGQbsTH,WHEN every time a song is played on Amazon Prime Music,", THEN change your hue lights to a randomly selected color"
ApZFzHnY,WHEN within 15 minutes of the sunset in your location,", THEN dim or brighten your hue lights to a value between 0-100"
ApdiLaGz,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene"
Apm4j6Ht,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene"
Aq6jAcvx,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene"
AqETextw,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to home scene"
AqNSJxde,WHEN the selected door is opened,", THEN turn on your smartthings devices that support switching on"
AqvK8cmU,WHEN Aura detects motion when set to Night scene,", THEN set your aura to guardian scene"
AqwiJumx,WHEN a selected member arrives,", THEN set your aura to home scene"
ArAi57ps,WHEN every time your WeMo Motion sensor detects new motion,", THEN turn on your hue lights"
ArDu8Ae6,WHEN a selected member arrives,", THEN set your aura to away scene"
ArMYjeN5,WHEN every single day at a specific time set by you,", THEN adjust multiple lights and shades together by activating a scene created in the lutron app"
ArxFJkTz,"WHEN once an hour at :00, :15, :30, or :45 minutes past the hour",", THEN briefly turn your hue lights off THEN back on"
ArxPp4Gm,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene"
As79cQnN,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene"
AsNM6AEh,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn off your hue lights"
AsfZEF6G,WHEN within 15 minutes of the sunset in your location,", THEN turn on, turn off or toggle your lights"
At4uRQ7r,WHEN every time you enter an area you specify,", THEN change the color of the nanoleaf light panels or canvas that you select from the device dropdown on this screen"
At8TfAKY,WHEN Aura detects motion,", THEN set your aura to away scene"
AtW5aXiB,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene"
AtbJU3TY,WHEN a selected member arrives,", THEN set your aura to home scene"
Au4fSU82,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN change the color of your hue lights"
AuCDxmvw,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene"
AuSmaEcp,WHEN every time a client device connects to the D-Link router,", THEN briefly turn your hue lights off THEN back on"
Av3xNKsT,"WHEN once an hour at :00, :15, :30, or :45 minutes past the hour",", THEN change your hue lights to a randomly selected color"
Av7kMX46,WHEN every time your WeMo Insight Switch is turned off,", THEN turn a wemo insight switch on"
Av8rW7yD,WHEN it's time for prayer,", THEN set a scene on your hue lights"
AvzGuqxH,WHEN every single day at a specific time set by you,", THEN turn on/off the led light of my projector"
AwQ48JXh,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene"
AwShMELC,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene"
AwSzLFDe,WHEN every time the temperature drops below a threshold you specify,", THEN set a nest thermostat to the temperature you specify"
AwiThzHd,WHEN only on specific days of the week at the time you provide,", THEN turn a wemo switch on"
AxGTyWz6,WHEN only on specific days of the week at the time you provide,", THEN set your light to a specified brightness"
AxMipV3R,WHEN a specified tag senses that its ambient temperature falls below an lower threshold configured at temperature options screen inside the WirelessTag app,", THEN set a nest thermostat to the temperature you specify"
AxjgsfqY,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene"
AydaS5vg,WHEN every time a song is played on Amazon Prime Music,", THEN change your hue lights to a randomly selected color"
AzWs4wF6,WHEN every time IFTTT receives a specific event from Apilio,", THEN turn your intesishome a/c on"
Azdk82sc,WHEN a selected member leaves,", THEN set your aura to guardian scene"
AziDUSpk,WHEN every time you add an item to your To Do List,", THEN change the color of your hue lights"
AzjS9qm5,WHEN every time IFTTT receives a specific event from Apilio,", THEN activate your smartthings alerting device's siren and/or strobe"
AzrCXFLE,WHEN a selected member arrives,", THEN set your aura to guardian scene"
Azu5V6dC,WHEN there is a new user voicemail,", THEN briefly turn your hue lights off THEN back on"
B2CH84cU,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn off a selected device"
B2CaBPvu,WHEN you say “Ok Google” to the Google Assistant followed by a phrase like “Block time for ‘exercise’ at 6 PM,", THEN set a nest thermostat to the temperature you specify"
B2KrZSJ3,WHEN a scheduled meeting ends,", THEN set a scene on your hue lights"
B2TMR6FE,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off"
B2dhR5zM,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene"
B37JEXyQ,WHEN a selected member arrives,", THEN set your aura to away scene"
B3wqsMPT,WHEN every time IFTTT receives a specific event from Apilio,", THEN activate a selected scene from your account"
B46X5vTh,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN changes the brightness level of the selected wemo light"
B4Emq67S,WHEN a set number of minutes before the starting time of an event on your Google Calendar that contains a specific keyword or phrase,", THEN turn your intesishome a/c on"
B4PgLyeD,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene"
B4VdiegD,WHEN every time your WeMo Light Switch is turned on or off with a long press over two seconds,", THEN toggle a wemo light switch on or off"
B4iyYkF6,WHEN a selected member arrives,", THEN set your aura to away scene"
B4jDBXEd,WHEN every time the home you specify is set to Away,", THEN turn off your hue lights"
B4mfBX9x,WHEN every time the temperature drops below a value you specify,", THEN turn a wemo switch on"
B4yZWnQr,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn on a slow color loop effect for your hue lights"
B6K54UD8,WHEN only on specific days of the week at the time you provide,", THEN turn on your hue lights"
B6MB4gXv,WHEN a selected member arrives,", THEN set your aura to guardian scene"
B6MpcFt8,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene"
B6dfNkCn,WHEN every time when your alarm panel is armed,", THEN turn off your hue lights"
B6nzNyst,WHEN there is a new Super Chat message in a live chat during a live stream on your channel,", THEN set your lights to a specified brightness"
B6tMGA43,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene"
B7JHid2r,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene"
B7MJR6kN,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene"
B7ah8nX6,WHEN every time when your alarm panel is disarmed,", THEN turn on your smartthings devices that support switching on"
B7hVRr9d,WHEN every time the power drops below the specified value in watts,", THEN turn on a plug for the specified duration"
B7kiYGN9,WHEN every time your Android device's battery drops below 15%,", THEN turn on a device"
B7nyHUWL,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn off your air conditioner"
B7zGEnNW,WHEN every single day at a specific time set by you,", THEN make your lights quickly blink the color of your choice"
B87fsKG6,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene"
B8cHWdFU,WHEN within 15 minutes of the sunset in your location,", THEN turn off one of your mi|home devices"
B8mfPtu6,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene"
B8pe5BUg,WHEN every single day at a specific time set by you,", THEN turn off your hue lights"
B9ACnuGi,WHEN every time there is a new survey response for the survey you specify,", THEN briefly turn your hue lights off THEN back on"
B9aH4hNZ,WHEN every single day at a specific time set by you,", THEN start the selected dishwasher program"
BACKJVUT,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene"
BAPH2azq,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene"
BAY5Ku2r,WHEN the scene is changed to the selected scene,", THEN set your aura to night scene"
BAZELyRF,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn your lights off"
BAdrChei,WHEN every time you enter an area you specify,", THEN turn your a/c on with a set temperature, mode and fan level"
BBuGLzWh,WHEN your air quality goes above or below the target level,", THEN start your robot"
BC39KF2y,WHEN the scene is changed to the selected scene,", THEN set your aura to guardian scene"
BC5mWjze,WHEN Aura detects motion,", THEN set your aura to home scene"
BCWmqfSV,WHEN a selected member arrives,", THEN set your aura to home scene"
BDQr784w,WHEN every time you post a new tweet with a specific hashtag,", THEN turn off your hue lights"
BDXVQgrE,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene"
BE4uRmzJ,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene"
BEhFUXSq,WHEN your Arlo device detects motion,", THEN turn a wemo switch on"
BEmMVxh3,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN provide comfort feedback for the device that you specified"
BEpiwCRH,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene"
BFmdPNQ2,WHEN every time you are tagged you in a new photo,", THEN make your lights quickly blink the color of your choice"
BGLkiZwE,WHEN a selected member leaves,", THEN set your aura to guardian scene"
BGNyYf7F,WHEN every time the Nest Protect you specify detects dangerous smoke levels,", THEN turn on your hue lights"
BGRqrAfs,WHEN every time the wind speed rises above a value you specify,", THEN turn on the selected light(s)"
BGV9ghui,"WHEN a set number of minutes before the starting time of an event on your Calendar that contains a specific keyword or phrase in the event’s Title, Description, or Location",", THEN set your thermosmart to the temperature you specify"
BGZc2AQk,"WHEN a window opens, closes, or moves",", THEN set the thermostat into a hold using the settings from the specified comfort profile"
BGiHXUVQ,WHEN my Total Connect security panel receives an alarm,", THEN change the color of your hue lights"
BGqn2kNz,WHEN every time your WeMo Light Switch is turned on or off with a long press over two seconds,", THEN turn a wemo switch off"
BGshvcnZ,WHEN a set number of minutes before the starting time of any event on your Google Calendar,", THEN turn on a slow color loop effect for your hue lights"
BGuV5c7K,WHEN every time your WeMo Light Switch is turned off,", THEN turn off your hue lights"
BHE7Tncu,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN change the color of your hue lights"
BHSv7Qpt,WHEN a selected member arrives,", THEN set your aura to away scene"
BHSwTufD,WHEN the scene is changed to the selected scene,", THEN set your aura to night scene"
BHUPna2Q,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene"
BHZ6GCuD,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turns off the selected wemo light"
BHbXufJg,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene"
BHru3bQ4,WHEN every single day at a specific time set by you,", THEN turn your lights on"
BJ3GTuPg,WHEN Aura detects motion,", THEN set your aura to away scene"
BJPefd9c,WHEN Aura detects motion when set to Night scene,", THEN set your aura to home scene"
BJS7QVqz,WHEN the scene is changed to the selected scene,", THEN set your aura to away scene"
BKQnZiD8,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene"
BKjWRNVG,WHEN once a year on the date and time you specify,", THEN change the color of your hue lights to match the dominant colors found in an image you specify"
BL6DyHY8,WHEN every single day at a specific time set by you,", THEN set the temperature on the thermostat"
BM7hVrjL,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN set a scene on your hue lights"
BM8Xz9ND,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to away scene"
BMASm9qs,WHEN a selected member arrives,", THEN set your aura to away scene"
BMeU8V29,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene"
BMpTagVw,WHEN Aura detects motion when set to the Away scene,", THEN set your aura to guardian scene"
BNK3XADY,WHEN an iHome Enhance button is pressed,", THEN turn your lights on"
