id,triggerDesc,actionDesc,deviceCategory,original_content_after_dot
BWTf6uBz,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn off your daikin ac unit",Air/Climate,It will be executed within 1 minute.
BXJirAtz,WHEN every time your WeMo Light Switch is turned off,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
BYMsZmDh,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set your honeywell thermostat to hold a temperature for a specified period of time",Thermostat/Heating,The schedule will resume when the time expires.
BchwJDe6,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
BfBMG5T3,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
BgMxrZ89,WHEN every single day at a specific time set by you,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
BnhEXbcZ,"WHEN every time your air purifier registers an air quality you specify (poor, moderate, good)",", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
Bpex7Ck3,WHEN the concentration of Carbon Dioxide (CO₂) measured from your Awair device rises above the threshold you specified for more than 30 seconds,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
BsUZc4LC,WHEN every time you press the button,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
BvSmHMF6,WHEN every single day at a specific time set by you,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
BxeTHNUZ,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set your honeywell thermostat to hold a temperature for a specified period of time",Thermostat/Heating,The schedule will resume when the time expires.
C4rqU6v8,WHEN every time you enter an area you specify,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
C4ueGtgf,WHEN every time your Netatmo Rain Gauge detects that it is raining,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
C7vQYxdJ,WHEN every time your WeMo Maker relay is turned on in toggle mode,", THEN turn a wemo maker off",Generic/Other,"If the WeMo Maker is already off, it will remain off."
C95xKmUk,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
CB8vqNjX,WHEN within 15 minutes of the sunrise in your location,", THEN turn off the pivot power genius outlet you specify",Generic/Other,"If the outlet is already off, it will remain off."
CGK3ui4b,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set your honeywell thermostat to hold a temperature for a specified period of time",Thermostat/Heating,The schedule will resume when the time expires.
CHP4vM8F,WHEN every time the Nest Protect you specify detects dangerous carbon monoxide levels,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect for the specified number of hours.
CJgj6thN,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
CM97SHr2,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
CMKWbeCk,WHEN every time a motion is detected at the given doorbell,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
CYPzZGHF,WHEN a set number of minutes before the starting time of an event on your Google Calendar that contains a specific keyword or phrase,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
CZAvFh2R,WHEN every single day at a specific time set by you,", THEN return control of your heating to tado⁠°, using your user-defined settings (e",Thermostat/Heating,g. location and Smart Schedule) to automatically determine the right room temperature.
CZDTUaxb,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
CcRuwDEf,WHEN within 15 minutes of the sunrise in your location,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
ChB4m5v3,WHEN every time you exit an area you specify,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
ChSBs2rX,WHEN every time you exit an area you specify,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
CkevCKNP,WHEN every single day at a specific time set by you,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
CnjCKG6s,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
Cr6ncWxA,WHEN every family member has left,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
D4iYuBNS,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
D75tZpNH,WHEN your device detects the temperature is below the threshold you specified,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
D7F5Z4rA,WHEN every single day at a specific time set by you,", THEN set your honeywell thermostat to hold a temperature for a specified period of time",Thermostat/Heating,The schedule will resume when the time expires.
D7mnUZi3,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
D8pq7j3k,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN open the garage door you specify",Generic/Other,"If the garage door is already opened, the door will remain opened. This Action will only work with 'garage mode'. Remote access must be enabled."
D8qP5LiA,WHEN every time you press the button,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
DB6KNLyb,"WHEN a set number of minutes before the starting time of an event on your Calendar that contains a specific keyword or phrase in the event’s Title, Description, or Location",", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
DBwAP4y6,WHEN within 15 minutes of the sunrise in your location,", THEN turns off the selected wemo light",Light,If it is already off it stays off.
DCvwKhbY,WHEN an event is triggered from your litter robot,", THEN clean a specific room in your home",Generic/Other,For robots with Imprint™ Smart Mapping technology.
DDPG5heU,WHEN every time you press the button,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
DDVuQJvG,"WHEN once an hour at :00, :15, :30, or :45 minutes past the hour",", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
DGbRmNpc,WHEN every time the humidity rises above a percentage you specify,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
DJCyH7wz,WHEN only on specific days of the week at the time you provide,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
DRFxz8dk,WHEN every time the temperature drops below a threshold you specify,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
DTw3GDk7,WHEN an OhmHour starts,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
DV8BN4nb,WHEN every time your ecobee thermostat senses that the outdoor temperature is less than a specific value you supply,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
DXQu3tsw,WHEN within 15 minutes of the sunset in your location,", THEN activate the scene that you choose",Light,You can choose from any Scene that is listed in your Nanoleaf Smarter Series App.
DZw9S4xC,WHEN every time you enter an area you specify,", THEN unpause your thermosmart, i",Generic/Other,e. set it to either a scheduled program or an exception if there is one for the current time.
DbXkyZ8H,WHEN you say “Ok Google” to the Google Assistant followed by a phrase like “Set Nest thermostat to 68,", THEN set your honeywell thermostat to hold a temperature for a specified period of time",Thermostat/Heating,The schedule will resume when the time expires.
Dnwv4KDU,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
DqidhGzN,WHEN every time your WeMo Switch is turned on,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
Dy62HwaL,WHEN your Arlo device detects motion,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
DyfEKJgd,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN open the garage door you specify",Generic/Other,"If the garage door is already opened, the door will remain opened. This Action will only work with 'garage mode'. Remote access must be enabled."
E2MJLHQs,WHEN within 15 minutes of the sunrise in your location,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
E4JMgr7k,WHEN every time you press the button,", THEN turn on the pivot power genius outlet you specify",Generic/Other,"If the outlet is already on, it will remain on."
E5HXpjPB,WHEN every time the camera detects a motion event,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
EBgh8XYb,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
EFwAJtL5,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
EGWSsTLh,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set your honeywell thermostat to hold a temperature for a specified period of time",Thermostat/Heating,The schedule will resume when the time expires.
EQEVWMLC,"WHEN every time your Withings Sleep detects that you get out of bed, within the start and end time parameters that you specify",", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
EQnzvUFK,WHEN within 15 minutes of the sunrise in your location,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
ESJk4B2E,WHEN only on specific days of the week at the time you provide,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
EWFwSxsK,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
EWRSkJ7Y,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
EXcZB98S,WHEN specified PIR KumoSensor detects movement,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
EZ8mh7bX,WHEN every time the Nest Protect you specify detects dangerous smoke levels,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
Ef7qUz4E,WHEN every time the home you specify is set to Home,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
Eh2dRs5p,"WHEN your abode system mode is changed (Away, Home, Standby)",", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
EkvDdghC,WHEN every time you enter an area you specify,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
EmGUYdJC,WHEN within 15 minutes of the sunset in your location,", THEN turns on the selected group of wemo lights",Light,If the group is already on it will remain on.
EqRcT42X,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
EsTFdMti,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set your nefit easy to auto mode",Generic/Other,"The auto mode (e.g. clock mode, holiday mode) sets the temperatures accordingly."
EtMmcyAC,WHEN your Arlo device detects motion,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
EvLeaZSB,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
EvrUQqp3,WHEN every time you enter an area you specify,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
F4iMuFHg,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
F6aLXwhF,WHEN a set number of minutes before the starting time of any event on your Google Calendar,", THEN change the color of the nanoleaf light panels or canvas that you select from the device dropdown on this screen",Light,You can enter either a hex value or a keyword for the color. Need help choosing a color? Bookmark nanoleaf.me/ifttt for easy access to a list and color picker.
FBDVFX93,WHEN every time your WeMo Insight Switch is turned off,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
FDqBQG5p,WHEN every time your WeMo light switches off,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
FDtkBHsg,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
FKkZgMda,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN set your honeywell thermostat to hold a temperature for a specified period of time",Thermostat/Heating,The schedule will resume when the time expires.
FMN4qynm,WHEN whenever you press the selected button on your Wink Relay,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
FN6wm73D,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
FWCLQGhP,WHEN every time you exit an area you specify,", THEN close the garage door you specify",Generic/Other,"If the garage door is already closed, the door will remain closed. This Action will only work with 'garage mode'. Remote access must be enabled."
FXQLwVt5,WHEN a Motion Sensor detects motion,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
FhNvEFux,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
FhzMEf9V,WHEN only on specific days of the week at the time you provide,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
FnhfX8kG,WHEN every time your WeMo Light Switch is turned on,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
FujBXPRm,WHEN every time your WeMo Switch is turned on,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
FxLGXLsC,WHEN every time an audio event is detected,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
FzHxGh9R,"WHEN once an hour at :00, :15, :30, or :45 minutes past the hour",", THEN return control of your heating to tado⁠°, using your user-defined settings (e",Thermostat/Heating,g. location and Smart Schedule) to automatically determine the right room temperature.
G3QgfwcL,WHEN every time the temperature rises above a value you specify,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
G4dg7bsT,WHEN a set number of minutes before the starting time of an event on your Google Calendar that contains a specific keyword or phrase,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
G5zFfcgL,WHEN within 15 minutes of the sunrise in your location,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
GACukMTq,WHEN every time you press the button,", THEN clean a specific room in your home",Generic/Other,For robots with Imprint™ Smart Mapping technology.
GAFhDb2W,WHEN every time your SmartThings device's presence is no longer detected,", THEN change the color of the nanoleaf light panels or canvas that you select from the device dropdown on this screen",Light,You can enter either a hex value or a keyword for the color. Need help choosing a color? Bookmark nanoleaf.me/ifttt for easy access to a list and color picker.
GDgJ4ve5,WHEN only on specific days of the week at the time you provide,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
GEmij8hX,WHEN sound is detected on the selected microphone,", THEN turns on the selected group of wemo lights",Light,If the group is already on it will remain on.
GFagQtyf,WHEN every single day at a specific time set by you,", THEN turns off the selected wemo light",Light,If it is already off it stays off.
GJd3kr6j,WHEN every time your WeMo Switch is turned on,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
GLBynHNh,WHEN every time you exit an area you specify,", THEN turns off the selected wemo light",Light,If it is already off it stays off.
GLawYkEP,WHEN every time you enter an area you specify,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
GS7WJ5HG,WHEN every time you click the selected Flic,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
GVj28X9S,WHEN every single day at a specific time set by you,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
GXUAqnzx,WHEN every time your WeMo Light Switch is turned on,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
GfujXDZN,WHEN every time your alarm goes off,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
GmdSNKDR,WHEN every time the Twitter user you specify tweets,", THEN activate the scene that you choose",Light,You can choose from any Scene that is listed in your Nanoleaf Smarter Series App.
GsFeYCSy,WHEN every time your WeMo Switch is turned on,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
GtYNVJB7,"WHEN a set number of minutes before the starting time of an event on your Calendar that contains a specific keyword or phrase in the event’s Title, Description, or Location",", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
GuaeTmNn,WHEN every time you press the button,", THEN open the garage door you specify",Generic/Other,"If the garage door is already opened, the door will remain opened. This Action will only work with 'garage mode'. Remote access must be enabled."
Gv6fxNte,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
Gz4EpiN2,WHEN every time your alarm goes off,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
HBNmxtgG,WHEN tado⁠° switches to Away Mode,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
HBqeZFJz,WHEN every time your ecobee thermostat senses that the outdoor temperature is less than a specific value you supply,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
HET6iLtf,WHEN tado⁠° switches to Home Mode,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
HFTQH96f,WHEN every time the temperature drops below a threshold you specify,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
HMJcbZak,WHEN a set number of minutes before the starting time of an event on your Google Calendar that contains a specific keyword or phrase,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
HNg9Yyfm,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
HP6JdKU2,WHEN whenever the Blue By ADT system arm state changes,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
HQXD6qWM,WHEN every time you exit an area you specify,", THEN turn off your daikin ac unit",Air/Climate,It will be executed within 1 minute.
HYCicfTz,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
HaLNeP7k,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
HcbwVQ2W,WHEN it's time for prayer,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
Hd6AsfE2,WHEN every single day at a specific time set by you,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
HqSPyXbC,WHEN every time an audio event is detected,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
Hu8nryaU,WHEN every time your WeMo Switch is turned on,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
Hx7N9i5F,WHEN every single day at a specific time set by you,", THEN turns on the selected wemo light",Light,If it is already on it stays on.
Hx8WC37w,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
HykZqQa5,WHEN only on specific days of the week at the time you provide,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
HzhjCs9Q,WHEN every time you enter an area you specify,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
J2XDwPBj,WHEN an OhmHour starts,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
J4zspG7P,WHEN within 15 minutes of the sunrise in your location,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
J5muZvw2,WHEN every time your WeMo Light Switch is turned off,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
J7U5cM9K,WHEN every time the Nest Protect you specify detects dangerous smoke levels,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
J8Xk3eJc,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
J8d6GJwr,WHEN every single day at a specific time set by you,", THEN turn off the pivot power genius outlet you specify",Generic/Other,"If the outlet is already off, it will remain off."
J8m4SkyF,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
JAuLwTaj,WHEN every time you click the selected Flic,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
JCXtYK3F,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN return control of your heating to tado⁠°, using your user-defined settings (e",Thermostat/Heating,g. location and Smart Schedule) to automatically determine the right room temperature.
JHPQ9LGi,WHEN a Wyze Cam detects motion,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
JHtE7fRX,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN changes the brightness level of the selected wemo light",Light,If the light is off it will turn on with selected brightness level.
JJWhynKa,WHEN every time you enter an area you specify,", THEN turns on the selected wemo light",Light,If it is already on it stays on.
JK4XVSrd,WHEN every time you send an SMS on your Android device that matches a search you specify,", THEN unpause your thermosmart, i",Generic/Other,e. set it to either a scheduled program or an exception if there is one for the current time.
JLnBQSZu,WHEN every time you press the button,", THEN turn off your daikin ac unit",Air/Climate,It will be executed within 1 minute.
JM95FGuW,WHEN every time your WeMo Motion sensor detects new motion,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
JX2iWYLN,WHEN an event is triggered from your litter robot,", THEN turns on the selected wemo light",Light,If it is already on it stays on.
JY3nVyKz,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set your honeywell thermostat to hold a temperature for a specified period of time",Thermostat/Heating,The schedule will resume when the time expires.
JZ97jx6Q,WHEN every time your alarm goes off,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
JZqKnCrk,WHEN every time you exit an area you specify,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
JdVLjPQk,WHEN every single day at a specific time set by you,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
JfTqU2Mg,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
Jm5fXebj,WHEN every time the temperature drops below a value you specify,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
Ju6ZGEcq,WHEN within 15 minutes of the sunrise in your location,", THEN turn a wemo dimmer on",Generic/Other,"If the WeMo Dimmer is already on, it will remain on."
JvYCVifg,WHEN every time your SmartThings device senses motion,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
