triggerDesc,isTriggerEco,actionDesc,freeOrLocked,isActionEco,isRuleEco
IF a smart device is switched off,NEUTRAL,", THEN turn off the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn off the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn off the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn off the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn off the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn off the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn off the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn off the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn off the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn off the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn off the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn off the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn off the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn off the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn off the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn off the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn off the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn off the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turns the AC unit display on.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turns the AC unit display on.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turns the AC unit display on.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turns the AC unit display on.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turns the AC unit display on.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turns the AC unit display on.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turns the AC unit display on.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turns the AC unit display on.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turns the AC unit display on.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turns the AC unit display on.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turns on the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turns on the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turns on the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turns on the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turns on the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turns on the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turns on the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turns on the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turns on the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turns on the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turns off the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turns off the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turns off the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turns off the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turns off the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turns off the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turns off the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turns off the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turns off the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turns off the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn on the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn on the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn on the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn on the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn on the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn on the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn on the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn on the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn on the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn on the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN enable the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN enable the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN enable the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN enable the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN enable the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN enable the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN enable the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN enable the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN enable the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN enable the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn on the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn on the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn on the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn on the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn on the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn on the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn on the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn on the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn on the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN turn on the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN start the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN start the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN start the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN start the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN start the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN start the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN start the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN start the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN start the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN start the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN deactivate the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN deactivate the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN deactivate the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN deactivate the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN deactivate the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN deactivate the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN deactivate the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN deactivate the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN deactivate the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a smart device is switched off,NEUTRAL,", THEN deactivate the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn off the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn off the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn off the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn off the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn off the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn off the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn off the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn off the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn off the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn off the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn off the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn off the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn off the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn off the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn off the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn off the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn off the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn off the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn off the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn off the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turns the AC unit display on.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turns the AC unit display on.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turns the AC unit display on.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turns the AC unit display on.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turns the AC unit display on.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turns the AC unit display on.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turns the AC unit display on.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turns the AC unit display on.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turns the AC unit display on.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turns the AC unit display on.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turns on the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turns on the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turns on the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turns on the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turns on the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turns on the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turns on the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turns on the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turns on the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turns on the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turns off the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turns off the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turns off the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turns off the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turns off the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turns off the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turns off the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turns off the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turns off the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turns off the air purifier.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn on the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn on the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn on the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn on the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn on the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn on the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn on the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn on the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn on the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn on the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN enable the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN enable the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN enable the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN enable the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN enable the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN enable the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN enable the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN enable the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN enable the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN enable the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn on the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn on the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn on the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn on the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn on the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn on the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn on the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn on the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn on the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN turn on the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN start the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN start the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN start the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN start the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN start the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN start the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN start the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN start the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN start the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN start the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN deactivate the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN deactivate the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN deactivate the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN deactivate the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN deactivate the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN deactivate the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN deactivate the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN deactivate the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN deactivate the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF a routine is activated,NEUTRAL,", THEN deactivate the air conditioner.",FREE,NEUTRAL,NEUTRAL
IF every day at a specified time,ECO,", THEN set the mode of the air conditioner to turbo.",FREE,NON-ECO,NEUTRAL
IF every day at a specified time,ECO,", THEN set the mode of the air conditioner to turbo.",FREE,NON-ECO,NEUTRAL
IF every day at a specified time,ECO,", THEN set the mode of the air conditioner to turbo.",FREE,NON-ECO,NEUTRAL
IF every day at a specified time,ECO,", THEN set the mode of the air conditioner to turbo.",FREE,NON-ECO,NEUTRAL
IF every day at a specified time,ECO,", THEN set the mode of the air conditioner to turbo.",FREE,NON-ECO,NEUTRAL
IF every day at a specified time,ECO,", THEN set the mode of the air conditioner to turbo.",FREE,NON-ECO,NEUTRAL
IF every day at a specified time,ECO,", THEN set the mode of the air conditioner to turbo.",FREE,NON-ECO,NEUTRAL
IF every day at a specified time,ECO,", THEN set the mode of the air conditioner to turbo.",FREE,NON-ECO,NEUTRAL
IF every day at a specified time,ECO,", THEN set the mode of the air conditioner to turbo.",FREE,NON-ECO,NEUTRAL
IF every day at a specified time,ECO,", THEN set the mode of the air conditioner to turbo.",FREE,NON-ECO,NEUTRAL
IF a specific button is pressed,NEUTRAL,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL
IF a specific button is pressed,NEUTRAL,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL
IF a specific button is pressed,NEUTRAL,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL
IF a specific button is pressed,NEUTRAL,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL
IF a specific button is pressed,NEUTRAL,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL
IF a specific button is pressed,NEUTRAL,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL
IF a specific button is pressed,NEUTRAL,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL
IF a specific button is pressed,NEUTRAL,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL
IF a specific button is pressed,NEUTRAL,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL
IF a specific button is pressed,NEUTRAL,", THEN sets the fan to low speed.",FREE,NEUTRAL,NEUTRAL
IF a specific button is pressed,NEUTRAL,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a specific button is pressed,NEUTRAL,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a specific button is pressed,NEUTRAL,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a specific button is pressed,NEUTRAL,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL
IF a specific button is pressed,NEUTRAL,", THEN stop the AC unit.",FREE,NEUTRAL,NEUTRAL
