triggerDesc,isTriggerEco,actionDesc,freeOrLocked,isActionEco,isRuleEco
IF ifttt receives a chosen event from an external service,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",FREE,NON-ECO,NON-ECO
IF ifttt receives a chosen event from an external service,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",FREE,NON-ECO,NON-ECO
IF ifttt receives a chosen event from an external service,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",FREE,NON-ECO,NON-ECO
IF ifttt receives a chosen event from an external service,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",FREE,NON-ECO,NON-ECO
IF ifttt receives a chosen event from an external service,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",FREE,NON-ECO,NON-ECO
IF your Android device connects to a specified wifi network,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF your Android device connects to a specified wifi network,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF your Android device connects to a specified wifi network,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF your Android device connects to a specified wifi network,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF your Android device connects to a specified wifi network,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF your Android device connects to a specified wifi network,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF your Android device connects to a specified wifi network,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF your Android device connects to a specified wifi network,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF your Android device connects to a specified wifi network,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF your Android device connects to a specified wifi network,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF a set number of minutes before sunset,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF a set number of minutes before sunset,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF a set number of minutes before sunset,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF a set number of minutes before sunset,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF a set number of minutes before sunset,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF a set number of minutes before sunset,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF a set number of minutes before sunset,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF a set number of minutes before sunset,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF a set number of minutes before sunset,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF a set number of minutes before sunset,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF local humidity and fires when above a specified value,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF local humidity and fires when above a specified value,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF local humidity and fires when above a specified value,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF local humidity and fires when above a specified value,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF local humidity and fires when above a specified value,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF local humidity and fires when above a specified value,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF local humidity and fires when above a specified value,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF local humidity and fires when above a specified value,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF local humidity and fires when above a specified value,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF local humidity and fires when above a specified value,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF a device logs new sleep data,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF a device logs new sleep data,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF a device logs new sleep data,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF a device logs new sleep data,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF a device logs new sleep data,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF a device logs new sleep data,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF a device logs new sleep data,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF a device logs new sleep data,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF a device logs new sleep data,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
IF a device logs new sleep data,NEUTRAL,", THEN set the mode of the air conditioner to turbo.",LOCKED,NON-ECO,NON-ECO
