triggerDesc,actionDesc
IF a voice assistant is activated with a specific phrase,", THEN stopped the hood after a fixed delay."
IF a voice assistant is activated with a specific phrase,", THEN stopped the hood without delay."
IF a voice assistant is activated with a specific phrase,", THEN stopped the hood after several hours."
IF a voice assistant is activated with a specific phrase,", THEN stopped the hood after a defined period ."
IF a voice assistant is activated with a specific phrase,", THEN stopped the hood immediately."
IF a voice assistant is activated with a specific phrase,", THEN stopped the hood much later."
IF a voice assistant is activated with a specific phrase,", THEN turned off the hood after a specified amount of time."
IF a voice assistant is activated with a specific phrase,", THEN turned off the hood after a while."
IF a voice assistant is activated with a specific phrase,", THEN turned off the hood after a large amount of time."
IF a voice assistant is activated with a specific phrase,", THEN turned off the hood after a fixed delay."
IF a voice assistant is activated with a specific phrase,", THEN turned off the hood without delay."
IF a voice assistant is activated with a specific phrase,", THEN turned off the hood after several hours."
IF a voice assistant is activated with a specific phrase,", THEN turned off the hood after a defined period ."
IF a voice assistant is activated with a specific phrase,", THEN turned off the hood immediately."
IF a voice assistant is activated with a specific phrase,", THEN turned off the hood much later."
IF a voice assistant is activated with a specific phrase,", THEN turn off a coffee machine after a specified amount of time."
IF a voice assistant is activated with a specific phrase,", THEN turn off a coffee machine after a while."
IF a voice assistant is activated with a specific phrase,", THEN turn off a coffee machine after a large amount of time."
IF a voice assistant is activated with a specific phrase,", THEN turn off a coffee machine after a fixed delay."
IF a voice assistant is activated with a specific phrase,", THEN turn off a coffee machine without delay."
IF a voice assistant is activated with a specific phrase,", THEN turn off a coffee machine after several hours."
IF a voice assistant is activated with a specific phrase,", THEN turn off a coffee machine after a defined period ."
IF a voice assistant is activated with a specific phrase,", THEN turn off a coffee machine immediately."
IF a voice assistant is activated with a specific phrase,", THEN turn off a coffee machine much later."
IF a voice assistant is activated with a specific phrase,", THEN stop a coffee machine after a specified amount of time."
IF a voice assistant is activated with a specific phrase,", THEN stop a coffee machine after a while."
IF a voice assistant is activated with a specific phrase,", THEN stop a coffee machine after a large amount of time."
IF a voice assistant is activated with a specific phrase,", THEN stop a coffee machine after a fixed delay."
IF a voice assistant is activated with a specific phrase,", THEN stop a coffee machine without delay."
IF a voice assistant is activated with a specific phrase,", THEN stop a coffee machine after several hours."
IF a voice assistant is activated with a specific phrase,", THEN stop a coffee machine after a defined period ."
IF a voice assistant is activated with a specific phrase,", THEN stop a coffee machine immediately."
IF a voice assistant is activated with a specific phrase,", THEN stop a coffee machine much later."
IF a voice assistant is activated with a specific phrase,", THEN deactivate a coffee machine after a specified amount of time."
IF a voice assistant is activated with a specific phrase,", THEN deactivate a coffee machine after a while."
IF a voice assistant is activated with a specific phrase,", THEN deactivate a coffee machine after a large amount of time."
IF a voice assistant is activated with a specific phrase,", THEN deactivate a coffee machine after a fixed delay."
IF a voice assistant is activated with a specific phrase,", THEN deactivate a coffee machine without delay."
IF a voice assistant is activated with a specific phrase,", THEN deactivate a coffee machine after several hours."
IF a voice assistant is activated with a specific phrase,", THEN deactivate a coffee machine after a defined period ."
IF a voice assistant is activated with a specific phrase,", THEN deactivate a coffee machine immediately."
IF a voice assistant is activated with a specific phrase,", THEN deactivate a coffee machine much later."
IF a voice assistant is activated with a specific phrase,", THEN stopped a coffee machine after a specified amount of time."
IF a voice assistant is activated with a specific phrase,", THEN stopped a coffee machine after a while."
IF a voice assistant is activated with a specific phrase,", THEN stopped a coffee machine after a large amount of time."
IF a voice assistant is activated with a specific phrase,", THEN stopped a coffee machine after a fixed delay."
IF a voice assistant is activated with a specific phrase,", THEN stopped a coffee machine without delay."
IF a voice assistant is activated with a specific phrase,", THEN stopped a coffee machine after several hours."
IF a voice assistant is activated with a specific phrase,", THEN stopped a coffee machine after a defined period ."
IF a voice assistant is activated with a specific phrase,", THEN stopped a coffee machine immediately."
IF a voice assistant is activated with a specific phrase,", THEN stopped a coffee machine much later."
IF a voice assistant is activated with a specific phrase,", THEN turned off a coffee machine after a specified amount of time."
IF a voice assistant is activated with a specific phrase,", THEN turned off a coffee machine after a while."
IF a voice assistant is activated with a specific phrase,", THEN turned off a coffee machine after a large amount of time."
IF a voice assistant is activated with a specific phrase,", THEN turned off a coffee machine after a fixed delay."
IF a voice assistant is activated with a specific phrase,", THEN turned off a coffee machine without delay."
IF a voice assistant is activated with a specific phrase,", THEN turned off a coffee machine after several hours."
IF a voice assistant is activated with a specific phrase,", THEN turned off a coffee machine after a defined period ."
IF a voice assistant is activated with a specific phrase,", THEN turned off a coffee machine immediately."
IF a voice assistant is activated with a specific phrase,", THEN turned off a coffee machine much later."
IF a voice assistant is activated with a specific phrase,", THEN turn on the coffee machine for a specific amount of time."
IF a voice assistant is activated with a specific phrase,", THEN turn on the coffee machine for a while."
IF a voice assistant is activated with a specific phrase,", THEN turn on the coffee machine for the entire day."
IF a voice assistant is activated with a specific phrase,", THEN turn on the coffee machine for a limited time."
IF a voice assistant is activated with a specific phrase,", THEN turn on the coffee machine until stopped."
IF a voice assistant is activated with a specific phrase,", THEN turn on the coffee machine indefinitely."
IF a voice assistant is activated with a specific phrase,", THEN turn on the coffee machine temporarily."
IF a voice assistant is activated with a specific phrase,", THEN turn on the coffee machine until manually changed."
IF a voice assistant is activated with a specific phrase,", THEN turn on the coffee machine continuously."
IF a voice assistant is activated with a specific phrase,", THEN start the coffee machine for a specific amount of time."
IF a voice assistant is activated with a specific phrase,", THEN start the coffee machine for a while."
IF a voice assistant is activated with a specific phrase,", THEN start the coffee machine for the entire day."
IF a voice assistant is activated with a specific phrase,", THEN start the coffee machine for a limited time."
IF a voice assistant is activated with a specific phrase,", THEN start the coffee machine until stopped."
IF a voice assistant is activated with a specific phrase,", THEN start the coffee machine indefinitely."
IF a voice assistant is activated with a specific phrase,", THEN start the coffee machine temporarily."
IF a voice assistant is activated with a specific phrase,", THEN start the coffee machine until manually changed."
IF a voice assistant is activated with a specific phrase,", THEN start the coffee machine continuously."
IF a voice assistant is activated with a specific phrase,", THEN activate the coffee machine for a specific amount of time."
IF a voice assistant is activated with a specific phrase,", THEN activate the coffee machine for a while."
IF a voice assistant is activated with a specific phrase,", THEN activate the coffee machine for the entire day."
IF a voice assistant is activated with a specific phrase,", THEN activate the coffee machine for a limited time."
IF a voice assistant is activated with a specific phrase,", THEN activate the coffee machine until stopped."
IF a voice assistant is activated with a specific phrase,", THEN activate the coffee machine indefinitely."
IF a voice assistant is activated with a specific phrase,", THEN activate the coffee machine temporarily."
IF a voice assistant is activated with a specific phrase,", THEN activate the coffee machine until manually changed."
IF a voice assistant is activated with a specific phrase,", THEN activate the coffee machine continuously."
IF a voice assistant is activated with a specific phrase,", THEN started the coffee machine for a specific amount of time."
IF a voice assistant is activated with a specific phrase,", THEN started the coffee machine for a while."
IF a voice assistant is activated with a specific phrase,", THEN started the coffee machine for the entire day."
IF a voice assistant is activated with a specific phrase,", THEN started the coffee machine for a limited time."
IF a voice assistant is activated with a specific phrase,", THEN started the coffee machine until stopped."
IF a voice assistant is activated with a specific phrase,", THEN started the coffee machine indefinitely."
IF a voice assistant is activated with a specific phrase,", THEN started the coffee machine temporarily."
IF a voice assistant is activated with a specific phrase,", THEN started the coffee machine until manually changed."
IF a voice assistant is activated with a specific phrase,", THEN started the coffee machine continuously."
IF a voice assistant is activated with a specific phrase,", THEN turned on the coffee machine for a specific amount of time."
IF a voice assistant is activated with a specific phrase,", THEN turned on the coffee machine for a while."
IF a voice assistant is activated with a specific phrase,", THEN turned on the coffee machine for the entire day."
IF a voice assistant is activated with a specific phrase,", THEN turned on the coffee machine for a limited time."
IF a voice assistant is activated with a specific phrase,", THEN turned on the coffee machine until stopped."
IF a voice assistant is activated with a specific phrase,", THEN turned on the coffee machine indefinitely."
IF a voice assistant is activated with a specific phrase,", THEN turned on the coffee machine temporarily."
IF a voice assistant is activated with a specific phrase,", THEN turned on the coffee machine until manually changed."
IF a voice assistant is activated with a specific phrase,", THEN turned on the coffee machine continuously."
IF a voice assistant is activated with a specific phrase,", THEN turn on the dishwasher in eco mode."
IF a voice assistant is activated with a specific phrase,", THEN turn on the dishwasher in comfort mode."
IF a voice assistant is activated with a specific phrase,", THEN turn on the dishwasher in turbo mode."
IF a voice assistant is activated with a specific phrase,", THEN turn on the dishwasher in low power mode."
IF a voice assistant is activated with a specific phrase,", THEN turn on the dishwasher in default mode."
IF a voice assistant is activated with a specific phrase,", THEN turn on the dishwasher in maximum power."
IF a voice assistant is activated with a specific phrase,", THEN turn on the dishwasher in energy saving mode."
IF a voice assistant is activated with a specific phrase,", THEN turn on the dishwasher in auto mode."
IF a voice assistant is activated with a specific phrase,", THEN turn on the dishwasher in boost mode."
IF a voice assistant is activated with a specific phrase,", THEN start the dishwasher in eco mode."
IF a voice assistant is activated with a specific phrase,", THEN start the dishwasher in comfort mode."
IF a voice assistant is activated with a specific phrase,", THEN start the dishwasher in turbo mode."
IF a voice assistant is activated with a specific phrase,", THEN start the dishwasher in low power mode."
IF a voice assistant is activated with a specific phrase,", THEN start the dishwasher in default mode."
IF a voice assistant is activated with a specific phrase,", THEN start the dishwasher in maximum power."
IF a voice assistant is activated with a specific phrase,", THEN start the dishwasher in energy saving mode."
IF a voice assistant is activated with a specific phrase,", THEN start the dishwasher in auto mode."
IF a voice assistant is activated with a specific phrase,", THEN start the dishwasher in boost mode."
IF a voice assistant is activated with a specific phrase,", THEN activate the dishwasher in eco mode."
IF a voice assistant is activated with a specific phrase,", THEN activate the dishwasher in comfort mode."
IF a voice assistant is activated with a specific phrase,", THEN activate the dishwasher in turbo mode."
IF a voice assistant is activated with a specific phrase,", THEN activate the dishwasher in low power mode."
IF a voice assistant is activated with a specific phrase,", THEN activate the dishwasher in default mode."
IF a voice assistant is activated with a specific phrase,", THEN activate the dishwasher in maximum power."
IF a voice assistant is activated with a specific phrase,", THEN activate the dishwasher in energy saving mode."
IF a voice assistant is activated with a specific phrase,", THEN activate the dishwasher in auto mode."
IF a voice assistant is activated with a specific phrase,", THEN activate the dishwasher in boost mode."
IF a voice assistant is activated with a specific phrase,", THEN started the dishwasher in eco mode."
IF a voice assistant is activated with a specific phrase,", THEN started the dishwasher in comfort mode."
IF a voice assistant is activated with a specific phrase,", THEN started the dishwasher in turbo mode."
IF a voice assistant is activated with a specific phrase,", THEN started the dishwasher in low power mode."
IF a voice assistant is activated with a specific phrase,", THEN started the dishwasher in default mode."
IF a voice assistant is activated with a specific phrase,", THEN started the dishwasher in maximum power."
IF a voice assistant is activated with a specific phrase,", THEN started the dishwasher in energy saving mode."
IF a voice assistant is activated with a specific phrase,", THEN started the dishwasher in auto mode."
IF a voice assistant is activated with a specific phrase,", THEN started the dishwasher in boost mode."
IF a voice assistant is activated with a specific phrase,", THEN turned on the dishwasher in eco mode."
IF a voice assistant is activated with a specific phrase,", THEN turned on the dishwasher in comfort mode."
IF a voice assistant is activated with a specific phrase,", THEN turned on the dishwasher in turbo mode."
IF a voice assistant is activated with a specific phrase,", THEN turned on the dishwasher in low power mode."
IF a voice assistant is activated with a specific phrase,", THEN turned on the dishwasher in default mode."
IF a voice assistant is activated with a specific phrase,", THEN turned on the dishwasher in maximum power."
IF a voice assistant is activated with a specific phrase,", THEN turned on the dishwasher in energy saving mode."
IF a voice assistant is activated with a specific phrase,", THEN turned on the dishwasher in auto mode."
IF a voice assistant is activated with a specific phrase,", THEN turned on the dishwasher in boost mode."
IF a voice assistant is activated with a specific phrase,", THEN preheat the oven using the hot air program with fast preheat for a specific amount of time."
IF a voice assistant is activated with a specific phrase,", THEN preheat the oven using the hot air program with fast preheat for a while."
IF a voice assistant is activated with a specific phrase,", THEN preheat the oven using the hot air program with fast preheat for the entire day."
IF a voice assistant is activated with a specific phrase,", THEN preheat the oven using the hot air program with fast preheat for a limited time."
IF a voice assistant is activated with a specific phrase,", THEN preheat the oven using the hot air program with fast preheat until stopped."
IF a voice assistant is activated with a specific phrase,", THEN preheat the oven using the hot air program with fast preheat indefinitely."
IF a voice assistant is activated with a specific phrase,", THEN preheat the oven using the hot air program with fast preheat temporarily."
IF a voice assistant is activated with a specific phrase,", THEN preheat the oven using the hot air program with fast preheat until manually changed."
IF a voice assistant is activated with a specific phrase,", THEN preheat the oven using the hot air program with fast preheat continuously."
IF a voice assistant is activated with a specific phrase,", THEN start the coffee with the specified program for a specific amount of time."
IF a voice assistant is activated with a specific phrase,", THEN start the coffee with the specified program for a while."
IF a voice assistant is activated with a specific phrase,", THEN start the coffee with the specified program for the entire day."
IF a voice assistant is activated with a specific phrase,", THEN start the coffee with the specified program for a limited time."
IF a voice assistant is activated with a specific phrase,", THEN start the coffee with the specified program until stopped."
IF a voice assistant is activated with a specific phrase,", THEN start the coffee with the specified program indefinitely."
IF a voice assistant is activated with a specific phrase,", THEN start the coffee with the specified program temporarily."
IF a voice assistant is activated with a specific phrase,", THEN start the coffee with the specified program until manually changed."
IF a voice assistant is activated with a specific phrase,", THEN start the coffee with the specified program continuously."
IF a voice assistant is activated with a specific phrase,", THEN turn on the coffee with the specified program for a specific amount of time."
IF a voice assistant is activated with a specific phrase,", THEN turn on the coffee with the specified program for a while."
IF a voice assistant is activated with a specific phrase,", THEN turn on the coffee with the specified program for the entire day."
IF a voice assistant is activated with a specific phrase,", THEN turn on the coffee with the specified program for a limited time."
IF a voice assistant is activated with a specific phrase,", THEN turn on the coffee with the specified program until stopped."
IF a voice assistant is activated with a specific phrase,", THEN turn on the coffee with the specified program indefinitely."
IF a voice assistant is activated with a specific phrase,", THEN turn on the coffee with the specified program temporarily."
IF a voice assistant is activated with a specific phrase,", THEN turn on the coffee with the specified program until manually changed."
IF a voice assistant is activated with a specific phrase,", THEN turn on the coffee with the specified program continuously."
IF a voice assistant is activated with a specific phrase,", THEN activate the coffee with the specified program for a specific amount of time."
IF a voice assistant is activated with a specific phrase,", THEN activate the coffee with the specified program for a while."
IF a voice assistant is activated with a specific phrase,", THEN activate the coffee with the specified program for the entire day."
IF a voice assistant is activated with a specific phrase,", THEN activate the coffee with the specified program for a limited time."
IF a voice assistant is activated with a specific phrase,", THEN activate the coffee with the specified program until stopped."
IF a voice assistant is activated with a specific phrase,", THEN activate the coffee with the specified program indefinitely."
IF a voice assistant is activated with a specific phrase,", THEN activate the coffee with the specified program temporarily."
IF a voice assistant is activated with a specific phrase,", THEN activate the coffee with the specified program until manually changed."
IF a voice assistant is activated with a specific phrase,", THEN activate the coffee with the specified program continuously."
IF a voice assistant is activated with a specific phrase,", THEN started the coffee with the specified program for a specific amount of time."
IF a voice assistant is activated with a specific phrase,", THEN started the coffee with the specified program for a while."
IF a voice assistant is activated with a specific phrase,", THEN started the coffee with the specified program for the entire day."
IF a voice assistant is activated with a specific phrase,", THEN started the coffee with the specified program for a limited time."
IF a voice assistant is activated with a specific phrase,", THEN started the coffee with the specified program until stopped."
IF a voice assistant is activated with a specific phrase,", THEN started the coffee with the specified program indefinitely."
IF a voice assistant is activated with a specific phrase,", THEN started the coffee with the specified program temporarily."
IF a voice assistant is activated with a specific phrase,", THEN started the coffee with the specified program until manually changed."
IF a voice assistant is activated with a specific phrase,", THEN started the coffee with the specified program continuously."
IF a voice assistant is activated with a specific phrase,", THEN turned on the coffee with the specified program for a specific amount of time."
IF a voice assistant is activated with a specific phrase,", THEN turned on the coffee with the specified program for a while."
