id,triggerChannelTitle,triggerTitle,triggerDesc,actionChannelTitle,actionTitle,actionDesc,deviceCategory,originalTrigger,originalAction
AQ5EKa6d,Google Assistant,Say a simple phrase,IF a voice assistant is activated with a specific phrase [FREE],Smart Life,Turn on,", THEN turn on a device for a specific duration.",Generic/Other,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",This action will turn on the device/group of your choosing.
AR7YdFHS,Button widget,Button press,IF a button is pressed,TP-Link Kasa,Turn on,", THEN turn on a device for a specific duration.",Generic/Other,This trigger fires every time you press the button.,This action will turn on a device.
ATj3Zv7Q,Wyze,Motion Sensor detects motion,IF motion is detected,Smart Life,Turn on,", THEN turn on a device for a specific duration.",Generic/Other,This trigger fires when a Motion Sensor detects motion.,This action will turn on the device/group of your choosing.
AU5VKeyd,Weather Underground,Current temperature drops below,IF temperature drops below a specified threshold,TP-Link Kasa,Turn on,", THEN turn on a device for a specific duration.",Generic/Other,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,This action will turn on a device.
AdUbMn2L,Date & Time,Every hour at,IF a scheduled time interval occurs [FREE],TP-Link Kasa,Toggle,", THEN toggle a device on.",Generic/Other,"This Trigger fires once an hour at :00, :15, :30, or :45 minutes past the hour.",This action will toggle a device.
Adrjbe4C,Weather Underground,Current condition changes to,IF the weather conditions change,WeMo Smart Plug,Turn off,", THEN turn off a specified device.",Generic/Other,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ","This Action will turn a WeMo Switch off. If the WeMo Switch is already off, it will remain off."
Ads7kvLD,ComEd,Change in Average Price,IF electricity price changes beyond a threshold,WeMo Smart Plug,Turn on,", THEN turn on a specific smart device.",Generic/Other,This trigger fires for an account that is on a dynamic pricing plan such as the Residential Hourly Pricing program or other real time market rates whenever the average price changes.,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on."
Af6v4My5,Email,Send IFTTT an email tagged,IF an email is received with a specified hashtag [FREE],WeMo Smart Plug,Turn on,", THEN turn on a specific smart device.",Generic/Other,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on."
AgDzRwCs,Date & Time,Every day at,IF a specified time occurs [FREE],Heatzy,Activate the child lock,", THEN unlock a device.",Generic/Other,This Trigger fires every single day at a specific time set by you.,This action will lock a specific device
AgaFsChz,Weather Underground,Current temperature rises above,IF temperature rises above a threshold,Smart Life,Turn off,", THEN switch off a device for a specified amount of time.",Generic/Other,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,This action will turn off the device/group of your choosing.
AgwL9r8D,Weather Underground,Sunset,"IF it is sunset, within a specified time",WeMo Smart Plug,Turn on,", THEN turn on a specific smart device.",Generic/Other,This Trigger fires within 15 minutes of the sunset in your location.,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on."
Ai3fQzcX,Date & Time,Every day of the week at,IF a specific day of the week occurs [FREE],Smart Life,Turn off,", THEN switch off a device for a specified amount of time.",Generic/Other,This Trigger fires only on specific days of the week at the time you provide.,This action will turn off the device/group of your choosing.
AigcenAN,SmartThings,Brightness drops below,IF air pollution exceeds a threshold,Smart Life,Turn on,", THEN turn on a device for a specific duration.",Generic/Other,This Trigger fires every time the your SmartThings device detects brightness below a value you specify.,This action will turn on the device/group of your choosing.
Aitg56xS,Google Sheets,Cell updated in spreadsheet,IF a specific spreadsheet cell is updated,TP-Link Kasa,Toggle,", THEN toggle a device on.",Generic/Other,This trigger fires when a particular cell is updated within the spreadsheet you specify.,This action will toggle a device.
AmBEfdbL,Date & Time,Every day at,IF a specified time occurs [FREE],SwitchBot,Bot turn off,", THEN switch off a device for a specified amount of time.",Generic/Other,This Trigger fires every single day at a specific time set by you.,This action will trigger the specified Bot to turn off the switch.
AmTH8vnp,Google Assistant,Say a simple phrase,IF a voice assistant is activated with a specific phrase [FREE],Wemo Dimmer,Change brightness,", THEN set brightness to a specified level.",Generic/Other,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",This action will change brightness of a Dimmer to a specified level/percentage.
Amwyg5hE,Google Assistant,Say a simple phrase,IF a voice assistant is activated with a specific phrase [FREE],WeMo Smart Plug,Toggle on/off,", THEN turn on a device for a specific duration.",Generic/Other,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",This Action will toggle a WeMo Switch on or off.
Aq8WnPB7,Weather Underground,Current condition changes to,IF the weather conditions change,WeMo Smart Plug,Turn on,", THEN turn on a specific smart device.",Generic/Other,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ","This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on."
AqMYG5sV,Weather Underground,Current temperature drops below,IF temperature drops below a specified threshold,WeMo Smart Plug,Turn off,", THEN turn off a specified device.",Generic/Other,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,"This Action will turn a WeMo Switch off. If the WeMo Switch is already off, it will remain off."
Av7kMX46,WeMo Insight Switch,Switched off,IF a smart device is turned off,WeMo Insight Switch,Turn on,", THEN turn on a specific smart device.",Generic/Other,This Trigger fires every time your WeMo Insight Switch is turned off.,"This Action will turn a WeMo Insight Switch on. If the WeMo Insight Switch is already on, it will remain on."
AwiThzHd,Date & Time,Every day of the week at,IF a specific day of the week occurs [FREE],WeMo Smart Plug,Turn on,", THEN turn on a specific smart device.",Generic/Other,This Trigger fires only on specific days of the week at the time you provide.,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on."
B2CH84cU,Google Assistant,Say a simple phrase,IF a voice assistant is activated with a specific phrase [FREE],TP-Link Kasa,Turn off,", THEN switch off a device for a specified amount of time.",Generic/Other,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",This action will turn off a selected device.
B2TMR6FE,Date & Time,Every day at,IF a specified time occurs [FREE],WeMo Smart Plug,Turn off,", THEN turn off a specified device.",Generic/Other,This Trigger fires every single day at a specific time set by you.,"This Action will turn a WeMo Switch off. If the WeMo Switch is already off, it will remain off."
B3wqsMPT,Apilio,Receive an event from Apilio,IF an external webhook event is received,TP-Link Kasa,Activate scene,", THEN activate to a specified scene.",Generic/Other,This trigger fires every time IFTTT receives a specific event from Apilio.,This action will activate a selected Scene from your account.
B4mfBX9x,Netatmo Weather Station,Temperature drops below,IF temperature drops below a specified threshold,WeMo Smart Plug,Turn on,", THEN turn on a specific smart device.",Generic/Other,This Trigger fires every time the temperature drops below a value you specify.,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on."
B67BTHXb,Email,Send IFTTT any email,IF an email is received with a specified hashtag [FREE],WeMo Smart Plug,Toggle on/off,", THEN turn on a device for a specific duration.",Generic/Other,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,This Action will toggle a WeMo Switch on or off.
B7hVRr9d,Smappee,Power drops below,IF temperature drops below a specified threshold,Smappee,Turn on plug,", THEN turn on a device for a specific duration.",Generic/Other,This Trigger fires every time the power drops below the specified value in watts.,This Action will turn on a plug for the specified duration.
B7kiYGN9,Android Battery,Battery drops below 15%,IF air pollution exceeds a threshold,TP-Link Kasa,Turn on,", THEN turn on a device for a specific duration.",Generic/Other,This Trigger fires every time your Android device's battery drops below 15%.,This action will turn on a device.
B8cHWdFU,Weather Underground,Sunset,"IF it is sunset, within a specified time",Energenie Mi|Home,Power off device,", THEN switch off a device for a specified amount of time.",Generic/Other,This Trigger fires within 15 minutes of the sunset in your location.,This Action will turn off one of your Mi|Home devices.
BBuGLzWh,uHoo,uHoo air quality alert,IF air pollution exceeds a threshold,iRobot,Start robot,", THEN start the robot.",Generic/Other,This trigger fires when your air quality goes above or below the target level.,This action will start your robot.
BEhFUXSq,Arlo,Motion detected,IF motion is detected,WeMo Smart Plug,Turn on,", THEN turn on a specific smart device.",Generic/Other,This Trigger fires when your Arlo device detects motion.,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on."
BGqn2kNz,WeMo Light Switch,Long press,IF a smart switch is long-pressed,WeMo Smart Plug,Turn off,", THEN turn off a specified device.",Generic/Other,This Trigger fires every time your WeMo Light Switch is turned on or off with a long press over two seconds.,"This Action will turn a WeMo Switch off. If the WeMo Switch is already off, it will remain off."
BSD2BuCf,Date & Time,Every day at,IF a specified time occurs [FREE],Smart Life,Turn off,", THEN switch off a device for a specified amount of time.",Generic/Other,This Trigger fires every single day at a specific time set by you.,This action will turn off the device/group of your choosing.
BSNPysBu,Google Assistant,Say a simple phrase,IF a voice assistant is activated with a specific phrase [FREE],iRobot,Dock robot,", THEN pause the robot.",Generic/Other,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",This action will dock your robot.
BSVcXtwe,Flic,Flic is clicked,IF a button is pressed [FREE],Smappee,Turn on plug,", THEN turn on a device for a specific duration.",Generic/Other,This Trigger fires every time you click the selected Flic.,This Action will turn on a plug for the specified duration.
BSaTfwiX,Nest Cam,New motion event,IF motion is detected,WeMo Insight Switch,Turn on,", THEN turn on a specific smart device.",Generic/Other,This Trigger fires every time the camera detects a motion event.,"This Action will turn a WeMo Insight Switch on. If the WeMo Insight Switch is already on, it will remain on."
BUiWh9ZH,Location,You enter an area,IF the user enters a specified area,WeMo Smart Plug,Turn on,", THEN turn on a specific smart device.",Generic/Other,This Trigger fires every time you enter an area you specify.,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on."
BZiwd3xV,Weather Underground,Current condition changes to,IF the weather conditions change,WeMo Smart Plug,Turn on then off,", THEN turn on a specific smart device.",Generic/Other,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",This Action will turn a WeMo Switch on then immediately back off.
BaSGzdXL,Android Device,Connects to a specific WiFi network,IF a device connects to a WiFi network,TP-Link Kasa,Turn on,", THEN turn on a device for a specific duration.",Generic/Other,This Trigger fires every time your Android device connects to a WiFi network you specify.,This action will turn on a device.
BchwJDe6,Google Assistant,Say a simple phrase,IF a voice assistant is activated with a specific phrase [FREE],WeMo Smart Plug,Turn off,", THEN turn off a specified device.",Generic/Other,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.","This Action will turn a WeMo Switch off. If the WeMo Switch is already off, it will remain off."
BeuGbNzt,WeMo Motion,Any new motion,IF motion is detected or stops,TP-Link Kasa,Turn on,", THEN turn on a device for a specific duration.",Generic/Other,This Trigger fires every time your WeMo Motion sensor detects new motion.,This action will turn on a device.
BfBMG5T3,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase [FREE],WeMo Smart Plug,Turn off,", THEN turn off a specified device.",Generic/Other,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.","This Action will turn a WeMo Switch off. If the WeMo Switch is already off, it will remain off."
BfT95BPn,Google Assistant,Say a simple phrase,IF a voice assistant is activated with a specific phrase [FREE],iRobot,Start robot,", THEN start the robot.",Generic/Other,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",This action will start your robot.
BgMxrZ89,Date & Time,Every day at,IF a specified time occurs [FREE],WeMo Smart Plug,Turn on,", THEN turn on a specific smart device.",Generic/Other,This Trigger fires every single day at a specific time set by you.,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on."
Bnx5a864,SmartThings,Any new motion,IF motion is detected,Smart Life,Turn on,", THEN turn on a device for a specific duration.",Generic/Other,This Trigger fires every time your SmartThings device senses motion.,This action will turn on the device/group of your choosing.
BpJE5wQZ,Amazon Alexa,Item completed on your To Do List,IF a reminder or task changes,WeMo Smart Plug,Turn on then off,", THEN turn on a specific smart device.",Generic/Other,This Trigger fires every time you complete an item on your To Do List.,This Action will turn a WeMo Switch on then immediately back off.
BpKVk3ZB,Google Assistant,Say a simple phrase,IF a voice assistant is activated with a specific phrase [FREE],Smart Life,Turn off,", THEN switch off a device for a specified amount of time.",Generic/Other,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",This action will turn off the device/group of your choosing.
BrSdTMh9,Brilliant Smart,Device or group is turned on,IF a device is turned on,Brilliant Smart,Activate Scene,", THEN activate to a specified scene.",Generic/Other,This trigger fires when the specified device/group is turned on.,This action will activate the specified scene.
BuHUtAae,Wink Relay,Button press,IF a button is pressed,WeMo Smart Plug,Toggle on/off,", THEN turn on a device for a specific duration.",Generic/Other,This Trigger fires whenever you press the selected button on your Wink Relay.,This Action will toggle a WeMo Switch on or off.
BxsyA2pJ,Android SMS,New SMS received matches search,IF an SMS is sent or received,WeMo Smart Plug,Toggle on/off,", THEN turn on a device for a specific duration.",Generic/Other,This Trigger fires every time you receive an SMS on your Android device that matches a search you specify.,This Action will toggle a WeMo Switch on or off.
BykEN28q,iOS Calendar,New event added to specific calendar,IF a new calendar event is added,TP-Link Kasa,Activate scene,", THEN activate to a specified scene.",Generic/Other,This trigger fires every time a new event is added to the calendar that you specify.,This action will activate a selected Scene from your account.
BzhpS3mM,WeMo Motion,Any new motion,IF motion is detected or stops,WeMo Smart Plug,Turn on then off,", THEN turn on a specific smart device.",Generic/Other,This Trigger fires every time your WeMo Motion sensor detects new motion.,This Action will turn a WeMo Switch on then immediately back off.
C2hr49wt,Agile Octopus,Energy price change,IF prices are low [FREE],Smart Life,Turn off,", THEN switch off a device for a specified amount of time.",Generic/Other,Use this trigger to fire something when your electricity price falls or rises past your set threshold and between your preferred time settings.,This action will turn off the device/group of your choosing.
C3fzkPje,Google Assistant,Say a simple phrase,IF a voice assistant is activated with a specific phrase [FREE],iRobot,Dock robot,", THEN pause the robot.",Generic/Other,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",This action will dock your robot.
C4rqU6v8,Location,You enter an area,IF the user enters a specified area,WeMo Smart Plug,Turn on,", THEN turn on a specific smart device.",Generic/Other,This Trigger fires every time you enter an area you specify.,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on."
C7vQYxdJ,WeMo Maker,Relay on,IF a relay is toggled on [FREE],WeMo Maker,Turn relay off,", THEN turn off a specified device.",Generic/Other,This Trigger fires every time your WeMo Maker relay is turned on in toggle mode.,"This Action will turn a WeMo Maker off. If the WeMo Maker is already off, it will remain off."
C95xKmUk,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase [FREE],WeMo Smart Plug,Turn on,", THEN turn on a specific smart device.",Generic/Other,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.","This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on."
CA5UipKN,SwitchBot,Motion detected or no motion detected,IF motion is detected or stops,Heatzy,Turn off,", THEN switch off a device for a specified amount of time.",Generic/Other,"When Motion Sensor detected motion or no motion, the SwitchBot motion sensor will try to trigger the service.",This action will turn off a specific device
CB8vqNjX,Weather Underground,Sunrise,"IF it is sunrise, within a specified time",Wink: Pivot Power Genius,Turn outlet off,", THEN switch off a device for a specified amount of time.",Generic/Other,This Trigger fires within 15 minutes of the sunrise in your location.,"This Action will turn off the Pivot Power Genius outlet you specify. If the outlet is already off, it will remain off."
CBrMH9fK,Google Assistant,Say a simple phrase,IF a voice assistant is activated with a specific phrase [FREE],Smart Life,Turn off,", THEN switch off a device for a specified amount of time.",Generic/Other,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",This action will turn off the device/group of your choosing.
CCQgDJ5B,Weather Underground,Current temperature drops below,IF temperature drops below a specified threshold,iDevices,Turn on,", THEN turn on a smart device.",Generic/Other,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,This action will turn the specified product on.
CCsn9zcA,Location,You exit an area,IF the user exits a specified area,TP-Link Kasa,Turn off,", THEN switch off a device for a specified amount of time.",Generic/Other,This Trigger fires every time you exit an area you specify.,This action will turn off a selected device.
CCu5jcxU,Location,You enter an area,IF the user enters a specified area,TP-Link Kasa,Turn on,", THEN turn on a device for a specific duration.",Generic/Other,This Trigger fires every time you enter an area you specify.,This action will turn on a device.
CD8w573R,Hubitat,Device turns off,IF a device is turned off,Smart Life,Turn off,", THEN switch off a device for a specified amount of time.",Generic/Other,This trigger fires when your Hubitat device turns off.,This action will turn off the device/group of your choosing.
CEjPDM3x,Button widget,Button press,IF a button is pressed,ThermoSmart,Pause,", THEN pause the thermostat.",Generic/Other,This trigger fires every time you press the button.,This Action will pause your ThermoSmart.
CKzPJ8E6,Android Device,Notification received from a specific app,IF a notification is received from a mobile app [FREE],TP-Link Kasa,Turn on,", THEN turn on a device for a specific duration.",Generic/Other,This trigger fires every time a new notification is received on your Android device from an app that you specify. NOTE: will not fire for IFTTT app notifications.,This action will turn on a device.
CLg9SR8k,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase [FREE],iRobot,Start robot,", THEN start the robot.",Generic/Other,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",This action will start your robot.
CM97SHr2,Weather Underground,Sunset,"IF it is sunset, within a specified time",WeMo Smart Plug,Turn on,", THEN turn on a specific smart device.",Generic/Other,This Trigger fires within 15 minutes of the sunset in your location.,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on."
CM9VcJZj,Google Assistant,Say a simple phrase,IF a voice assistant is activated with a specific phrase [FREE],TP-Link Kasa,Turn on,", THEN turn on a device for a specific duration.",Generic/Other,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",This action will turn on a device.
CTFBbQPR,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase [FREE],WeMo Maker,Turn relay on momentarily,", THEN turn on a specific smart device.",Generic/Other,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",This Action will turn a WeMo Maker on for 300 milliseconds. Note: WeMo Maker must be in 'Momentary' mode for this action to work.
CYPzZGHF,Google Calendar,Event from search starts,IF shortly before a calendar event with a specific keyword [FREE],WeMo Insight Switch,Turn on,", THEN turn on a specific smart device.",Generic/Other,"This Trigger fires a set number of minutes before the starting time of an event on your Google Calendar that contains a specific keyword or phrase. The search looks at the event’s Title, Description, and Location.","This Action will turn a WeMo Insight Switch on. If the WeMo Insight Switch is already on, it will remain on."
CZDTUaxb,Weather Underground,Sunset,"IF it is sunset, within a specified time",WeMo Smart Plug,Turn on,", THEN turn on a specific smart device.",Generic/Other,This Trigger fires within 15 minutes of the sunset in your location.,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on."
CafUFMHk,Email,Send IFTTT any email,IF an email is received with a specified hashtag [FREE],WeMo Smart Plug,Toggle on/off,", THEN turn on a device for a specific duration.",Generic/Other,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,This Action will toggle a WeMo Switch on or off.
Ch42rx9p,Android Battery,Device is unplugged,IF device is plugged in or unplugged,TP-Link Kasa,Turn off,", THEN switch off a device for a specified amount of time.",Generic/Other,This Trigger fires every time your Android device is unplugged.,This action will turn off a selected device.
ChB4m5v3,Location,You exit an area,IF the user exits a specified area,WeMo Smart Plug,Turn off,", THEN turn off a specified device.",Generic/Other,This Trigger fires every time you exit an area you specify.,"This Action will turn a WeMo Switch off. If the WeMo Switch is already off, it will remain off."
CkevCKNP,Date & Time,Every day at,IF a specified time occurs [FREE],WeMo Smart Plug,Turn on,", THEN turn on a specific smart device.",Generic/Other,This Trigger fires every single day at a specific time set by you.,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on."
CmXEJbUc,Button widget,Button press,IF a button is pressed,Heatzy,Set manual mode,", THEN change the device operating mode to auto.",Generic/Other,This trigger fires every time you press the button.,This action will set a specific device on manual mode
CncLEzZy,Location,You enter or exit an area,IF the user enters a specified area,WeMo Smart Plug,Toggle on/off,", THEN turn on a device for a specific duration.",Generic/Other,This Trigger fires every time you enter or exit an area you specify.,This Action will toggle a WeMo Switch on or off.
CnjCKG6s,Date & Time,Every day at,IF a specified time occurs [FREE],WeMo Smart Plug,Turn off,", THEN turn off a specified device.",Generic/Other,This Trigger fires every single day at a specific time set by you.,"This Action will turn a WeMo Switch off. If the WeMo Switch is already off, it will remain off."
Cr6ncWxA,Powered by Viva,We detect that the home is empty,IF everyone leaves home,WeMo Smart Plug,Turn off,", THEN turn off a specified device.",Generic/Other,This trigger fires when every family member has left.,"This Action will turn a WeMo Switch off. If the WeMo Switch is already off, it will remain off."
CtgRCjWZ,Google Assistant,Say a simple phrase,IF a voice assistant is activated with a specific phrase [FREE],Nature Remo,Control home appliances,", THEN send a notify to a smart device.",Generic/Other,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",This action will send an infrared signal to control your home appliances.
CvtMhnLb,Android Device,Connects to a specific WiFi network,IF a device connects to a WiFi network,TP-Link Kasa,Turn on,", THEN turn on a device for a specific duration.",Generic/Other,This Trigger fires every time your Android device connects to a WiFi network you specify.,This action will turn on a device.
D4iYuBNS,Weather Underground,Sunset,"IF it is sunset, within a specified time",WeMo Smart Plug,Turn on,", THEN turn on a specific smart device.",Generic/Other,This Trigger fires within 15 minutes of the sunset in your location.,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on."
D5bNEyVd,Location,You enter an area,IF the user enters a specified area,Heatmiser,Turn neoPlug on,", THEN turn on a device for a specific duration.",Generic/Other,This Trigger fires every time you enter an area you specify.,This Action will allow you to switch on the selected neoPlug.
D6C9Hsj2,Orion - Voice for Teams,Listen for a word or phrase,IF a specific spoken keyword is detected [FREE],WeMo Smart Plug,Toggle on/off,", THEN turn on a device for a specific duration.",Generic/Other,This trigger fires every time you or someone in your Orion group says a particular word or phrase.,This Action will toggle a WeMo Switch on or off.
D7mnUZi3,Weather Underground,Sunset,"IF it is sunset, within a specified time",WeMo Smart Plug,Turn on,", THEN turn on a specific smart device.",Generic/Other,This Trigger fires within 15 minutes of the sunset in your location.,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on."
D8qP5LiA,Button widget,Button press,IF a button is pressed,WeMo Insight Switch,Turn off,", THEN turn off a specified device.",Generic/Other,This trigger fires every time you press the button.,"This Action will turn a WeMo Switch off. If the WeMo Switch is already off, it will remain off."
DAYt2uRg,Location,You enter an area,IF the user enters a specified area,TP-Link Kasa,Turn on,", THEN turn on a device for a specific duration.",Generic/Other,This Trigger fires every time you enter an area you specify.,This action will turn on a device.
DAw76jUk,Email,Send IFTTT any email,IF an email is received with a specified hashtag [FREE],WeMo Smart Plug,Turn on then off,", THEN turn on a specific smart device.",Generic/Other,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. This trigger will reject emails with attachments over 30MB.,This Action will turn a WeMo Switch on then immediately back off.
DB6KNLyb,Google Calendar,Event from search starts,IF shortly before a calendar event with a specific keyword [FREE],WeMo Smart Plug,Turn off,", THEN turn off a specified device.",Generic/Other,"This Trigger fires a set number of minutes before the starting time of an event on your Calendar that contains a specific keyword or phrase in the event’s Title, Description, or Location. Ingredient will be based on the zone set in Google.","This Action will turn a WeMo Switch off. If the WeMo Switch is already off, it will remain off."
