id,triggerChannelTitle,triggerTitle,triggerDesc,actionChannelTitle,actionTitle,actionDesc,deviceCategory,originalTrigger,originalAction
MbThmfDx,Flic,Flic is clicked,IF a button is pressed [FREE],Home Connect Coffee Machine,Turn on coffee machine,", THEN turn on the coffee machine [ACTION_Y].",Appliance,This Trigger fires every time you click the selected Flic.,This action will turn on your coffee machine.
NHDhRMia,Flic,Flic is clicked,IF a button is pressed [FREE],Home Connect Coffee Machine,Start coffee program,", THEN start the coffee with the specified program [ACTION_Y].",Appliance,This Trigger fires every time you click the selected Flic.,This action will start the selected coffee program with your preferred settings.
PqLKAmB4,Google Assistant,Say a simple phrase,IF a voice assistant is activated with a specific phrase [FREE],Home Connect Hood,Turn on hood,", THEN turn on the hood with the default program [ACTION_Y].",Appliance,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",This action will turn on your hood with the default program.
QvmnUjSF,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase [FREE],Home Connect Coffee Machine,Turn on coffee machine,", THEN turn on the coffee machine [ACTION_Y].",Appliance,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",This action will turn on your coffee machine.
RmtdaY5L,True Energy Smart Home Norway,Electricity in Norway is Cheap,IF electricity prices are low ,Home Connect Dishwasher,Turn on dishwasher,", THEN turn on the dishwasher in [ACTION_X].",Appliance,This trigger fires at the hours where electricity in Norway is cheap.,This action will turn on your dishwasher.
RtEWH6si,Google Assistant,Say a simple phrase,IF a voice assistant is activated with a specific phrase [FREE],Home Connect Coffee Machine,Start coffee program,", THEN start the coffee with the specified program [ACTION_Y].",Appliance,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",This action will start the selected coffee program with your preferred settings.
SXmQdfMH,Button widget,Button press,IF a button is pressed [FREE],Home Connect Hood,Start program,", THEN turn on the hood [ACTION_Y].",Appliance,This trigger fires every time you press the button.,This action will start the selected hood program.
SYcJQtSn,Date & Time,Every day at,IF every day at a specified time,Home Connect Fridge Freezer,Deactivate Eco mode,", THEN deactivate [ACTION_X] on the appliance.",Appliance,This Trigger fires every single day at a specific time set by you.,This action will deactivate Eco mode on your appliance.
TMEsfTqG,True Energy Smart Home Denmark,Electricity in Denmark is Cheap,IF electricity prices are low ,Home Connect Dishwasher,Turn on dishwasher,", THEN turn on the dishwasher in [ACTION_X].",Appliance,This trigger fires at the hours where electricity in Denmark is cheap.,This action will turn on your dishwasher.
V7BGHJTN,Google Assistant,Say a simple phrase,IF a voice assistant is activated with a specific phrase [FREE],Home Connect Coffee Machine,Turn off coffee machine,", THEN turn off a coffee machine [ACTION_W].",Appliance,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",This action will turn off your coffee machine.
WXsPVUA9,Google Assistant,Say a simple phrase,IF a voice assistant is activated with a specific phrase [FREE],Home Connect Oven,Turn on oven,", THEN turn on the oven [ACTION_Y].",Appliance,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",This action will turn on your oven.
WniJDzGQ,Watts,Lowest CO2 intensity in the electricity,IF carbon emissions is lowest within a time window,Home Connect Dishwasher,Start selected program,", THEN start the selected dishwasher program [ACTION_Y].",Appliance,This trigger fires when the CO2 intensity in the electricity production is lowest between a starting time and a finish time and for a duration specified by you.,This action will start the dishwasher program that is currently selected on the appliance.
Wwpvh2BS,Button widget,Button press,IF a button is pressed [FREE],Home Connect Coffee Machine,Start coffee milk mix program,", THEN start the coffee with the specified program [ACTION_Y].",Appliance,This trigger fires every time you press the button.,This action will start the selected coffee milk mix program with your preferred settings.
XQbhXEyu,Google Assistant,Say a simple phrase,IF a voice assistant is activated with a specific phrase [FREE],Home Connect Oven,Preheat oven,", THEN preheat the oven using the hot air program with fast preheat [ACTION_Y].",Appliance,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",This action will preheat your oven using the hot air program with the fast preheat option.
Z9bKAMdX,Watts,Lowest CO2 intensity in the electricity,IF carbon emissions is lowest within a time window,Home Connect Dishwasher,Start program,", THEN start the dishwasher [ACTION_Y].",Appliance,This trigger fires when the CO2 intensity in the electricity production is lowest between a starting time and a finish time and for a duration specified by you.,This action will start the selected dishwasher program.
bDJ5bXsQ,True Energy Smart Home Norway,Electricity in Norway is Cheap,IF electricity prices are low ,Home Connect Dishwasher,Start program,", THEN start the dishwasher [ACTION_Y].",Appliance,This trigger fires at the hours where electricity in Norway is cheap.,This action will start the selected dishwasher program.
cNXGvTYf,Hager IoT,Binary switch turns on,IF a device is turned on [FREE],Home Connect Oven,Turn on oven,", THEN turn on the oven [ACTION_Y].",Appliance,This Trigger fires every time your device's binary switch is turned on.,This action will turn on your oven.
citfURA9,HomeSeer,A device is turned on,IF a device is turned on [FREE],Home Connect Oven,Preheat oven,", THEN preheat the oven using the hot air program with fast preheat [ACTION_Y].",Appliance,This Trigger fires when a device attached to your HomeSeer system is turned on.,This action will preheat your oven using the hot air program with the fast preheat option.
dsywPmcF,Button widget,Button press,IF a button is pressed [FREE],Home Connect Oven,Turn off oven,", THEN turn off then oven [ACTION_W].",Appliance,This trigger fires every time you press the button.,This action will turn off your oven.
eAZuKhvG,Date & Time,Every day of the week at,IF is one of the specific days of the week at a specified time [FREE],Home Connect Coffee Machine,Turn on coffee machine,", THEN turn on the coffee machine [ACTION_Y].",Appliance,This Trigger fires only on specific days of the week at the time you provide.,This action will turn on your coffee machine.
ex5ktb2a,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase [FREE],Home Connect Hood,Turn off hood,", THEN turn off the hood [ACTION_W].",Appliance,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",This action will turn off your hood.
g8s5JZiF,Google Assistant,Say a simple phrase,IF a voice assistant is activated with a specific phrase [FREE],Home Connect Coffee Machine,Start coffee world program,", THEN start the coffee with the specified program [ACTION_Y].",Appliance,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",This action will start the selected coffee world program with your preferred settings.
gcrNYnXG,Amazon Alexa,Item edited on your To Do List,IF a to-do list item is edited [FREE],Home Connect Dishwasher,Turn off dishwasher,", THEN turn off the dishwasher [ACTION_W].",Appliance,This Trigger fires every time you edit an item on your To Do List.,This action will turn off your dishwasher.
h7vMCyDH,Withings Sleep,When I get out of bed,IF a sleep tracking device detects the user leaving the bed,Home Connect Coffee Machine,Turn on coffee machine,", THEN turn on the coffee machine [ACTION_Y].",Appliance,"This trigger fires every time your Withings Sleep detects that you get out of bed, within the start and end time parameters that you specify.",This action will turn on your coffee machine.
hGpFDhPB,Google Assistant,Say a simple phrase,IF a voice assistant is activated with a specific phrase [FREE],Home Connect Coffee Machine,Turn on coffee machine,", THEN turn on the coffee machine [ACTION_Y].",Appliance,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",This action will turn on your coffee machine.
hTtJPhzB,Vimar VIEW,Exchanged Power single phase,IF power usage satisfies a threshold condition,Home Connect Dishwasher,Turn off dishwasher,", THEN turn off the dishwasher [ACTION_W].",Appliance,This trigger fires when the exchanged power satisfies a condition with a threshold ,This action will turn off your dishwasher.
iv7EzFRH,Home Connect Cookit,Cookit turned on,IF a smart cooking device is turned on,Home Connect Hood,Turn on hood,", THEN turn on the hood with the default program [ACTION_Y].",Appliance,This trigger fires every time your Cookit is turned on.,This action will turn on your hood with the default program.
iw4nV5j6,Google Assistant,Say a simple phrase,IF a voice assistant is activated with a specific phrase [FREE],Home Connect Dishwasher,Start program,", THEN start the dishwasher [ACTION_Y].",Appliance,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",This action will start the selected dishwasher program.
k8HxgVML,Nest Protect,Smoke alarm emergency,IF a smoke detector detects smoke,Home Connect Hood,Turn off hood,", THEN turn off the hood [ACTION_W].",Appliance,This Trigger fires every time the Nest Protect you specify detects dangerous smoke levels.,This action will turn off your hood.
kXCYwL7c,Google Assistant,Say a simple phrase,IF a voice assistant is activated with a specific phrase [FREE],Home Connect Oven,Preheat oven,", THEN preheat the oven using the hot air program with fast preheat [ACTION_Y].",Appliance,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",This action will preheat your oven using the hot air program with the fast preheat option.
nCys6M3N,Watts,Lowest electricity price,IF electricity prices are low ,Home Connect Dishwasher,Start program,", THEN start the dishwasher [ACTION_Y].",Appliance,This trigger fires when the electricity price is lowest between a starting time and a finish time and for a duration specified by you.,This action will start the selected dishwasher program.
pBsGHJfp,Button widget,Button press,IF a button is pressed [FREE],Home Connect Oven,Turn on oven,", THEN turn on the oven [ACTION_Y].",Appliance,This trigger fires every time you press the button.,This action will turn on your oven.
pGBe2m3u,True Energy Smart Home Norway,Electricity in Norway is Cheap,IF electricity prices are low ,Home Connect Dishwasher,Start program,", THEN start the dishwasher [ACTION_Y].",Appliance,This trigger fires at the hours where electricity in Norway is cheap.,This action will start the selected dishwasher program.
pXGkKEjV,True Energy Smart Home Norway,Electricity in Norway is Cheap,IF electricity prices are low ,Home Connect Dishwasher,Turn on dishwasher,", THEN turn on the dishwasher in [ACTION_X].",Appliance,This trigger fires at the hours where electricity in Norway is cheap.,This action will turn on your dishwasher.
paxbRCw7,Google Calendar,New event from search ends,IF a calendar event with a specific keyword occurs [FREE],Home Connect Fridge Freezer,Deactivate Vacation Mode,", THEN deactivate [ACTION_X] on the appliance.",Appliance,"This Trigger fires within 15 minutes of the ending time of an event on your Google Calendar that contains a specific keyword or phrase. The search looks at the event’s Title, Description, and Location. Ingredient will be based on the zone set in Google.",This action will deactivate Vacation mode on your appliance.
qReZjPWH,Google Assistant,Say a simple phrase,IF a voice assistant is activated with a specific phrase [FREE],Home Connect Coffee Machine,Start coffee milk mix program,", THEN start the coffee with the specified program [ACTION_Y].",Appliance,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",This action will start the selected coffee milk mix program with your preferred settings.
rHXpi3C6,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase [FREE],Home Connect Oven,Preheat oven,", THEN preheat the oven using the hot air program with fast preheat [ACTION_Y].",Appliance,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",This action will preheat your oven using the hot air program with the fast preheat option.
rpgWZsn9,Button widget,Button press,IF a button is pressed [FREE],Home Connect Dishwasher,Start program,", THEN start the dishwasher [ACTION_Y].",Appliance,This trigger fires every time you press the button.,This action will start the selected dishwasher program.
sJkUDiVT,Button widget,Button press,IF a button is pressed [FREE],Home Connect Coffee Machine,Turn on coffee machine,", THEN turn on the coffee machine [ACTION_Y].",Appliance,This trigger fires every time you press the button.,This action will turn on your coffee machine.
scbnNUsZ,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase [FREE],Home Connect Coffee Machine,Start coffee milk mix program,", THEN start the coffee with the specified program [ACTION_Y].",Appliance,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",This action will start the selected coffee milk mix program with your preferred settings.
t2KBLZw5,Google Assistant,Say a simple phrase,IF a voice assistant is activated with a specific phrase [FREE],Home Connect Coffee Machine,Start coffee program,", THEN start the coffee with the specified program [ACTION_Y].",Appliance,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",This action will start the selected coffee program with your preferred settings.
uFeV4Y8i,Location,You enter or exit an area,IF the user enters a specified area,Home Connect Coffee Machine,Turn on coffee machine,", THEN turn on the coffee machine [ACTION_Y].",Appliance,This Trigger fires every time you enter or exit an area you specify.,This action will turn on your coffee machine.
uYwxybsh,Home Connect Fridge Freezer,Freezer door opened,IF a freezer door is opened,Home Connect Fridge Freezer,Deactivate Fresh mode,", THEN deactivate [ACTION_X] on the appliance.",Appliance,This trigger fires every time your freezer door has been opened.,This action will deactivate Fresh mode on your appliance.
vAPHnzR7,FIBARO,The button,IF a button is pressed [FREE],Home Connect Coffee Machine,Turn on coffee machine,", THEN turn on the coffee machine [ACTION_Y].",Appliance,This trigger fires when The Button connected to FIBARO Home Center is pressed as specified.,This action will turn on your coffee machine.
vL8YuzMy,Location,You enter an area,IF the user enters a specified area,Home Connect Coffee Machine,Turn on coffee machine,", THEN turn on the coffee machine [ACTION_Y].",Appliance,This Trigger fires every time you enter an area you specify.,This action will turn on your coffee machine.
vVudfs4K,Button widget,Button press,IF a button is pressed [FREE],Home Connect Coffee Machine,Start coffee program,", THEN start the coffee with the specified program [ACTION_Y].",Appliance,This trigger fires every time you press the button.,This action will start the selected coffee program with your preferred settings.
wZrCnLzT,Gira Smart Home,Switched on,IF a device is turned on [FREE],Home Connect Coffee Machine,Turn on coffee machine,", THEN turn on the coffee machine [ACTION_Y].",Appliance,This trigger fires when a KNX device or binary switch is turned on.,This action will turn on your coffee machine.
wwhRLEdF,Button widget,Button press,IF a button is pressed [FREE],Home Connect Coffee Machine,Start coffee world program,", THEN start the coffee with the specified program [ACTION_Y].",Appliance,This trigger fires every time you press the button.,This action will start the selected coffee world program with your preferred settings.
x93kLKXJ,True Energy Smart Home Denmark,Electricity in Denmark is Cheap,IF electricity prices are low ,Home Connect Dishwasher,Start program,", THEN start the dishwasher [ACTION_Y].",Appliance,This trigger fires at the hours where electricity in Denmark is cheap.,This action will start the selected dishwasher program.
xCtuR2Q6,Button widget,Button press,IF a button is pressed [FREE],Home Connect Coffee Machine,Turn off coffee machine,", THEN turn off a coffee machine [ACTION_W].",Appliance,This trigger fires every time you press the button.,This action will turn off your coffee machine.
xUsSHTQ4,Weather Underground,Sunrise,IF it is sunrise,Home Connect Coffee Machine,Turn on coffee machine,", THEN turn on the coffee machine [ACTION_Y].",Appliance,This Trigger fires within 15 minutes of the sunrise in your location.,This action will turn on your coffee machine.
yQuT5Nc9,True Energy Smart Home Denmark,Electricity in Denmark is Cheap,IF electricity prices are low ,Home Connect Dishwasher,Start program,", THEN start the dishwasher [ACTION_Y].",Appliance,This trigger fires at the hours where electricity in Denmark is cheap.,This action will start the selected dishwasher program.
