id,triggerChannelTitle,triggerTitle,triggerDesc,actionChannelTitle,actionTitle,actionDesc,deviceCategory,originalTrigger,originalAction
BYMsZmDh,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase,Honeywell Total Connect Comfort,Set temperature for a period of time,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",This Action will set your Honeywell thermostat to hold a temperature for a specified period of time. The schedule will resume when the time expires.
Bh3sTGaP,Nest Thermostat,Temperature drops below,IF temperature drops below a threshold,Nest Thermostat,Set temperature,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,This Trigger fires every time the temperature drops below a threshold you specify.,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.
BtQe5y86,Agile Octopus,Energy price threshold change for duration,IF electricity price fluctuates beyond threshold,Hive Active Heating™ - UK and Europe,Boost hot water,", THEN boosts hot water [ACTION_Y].",Thermostat/Heating,Use this trigger to fire something when your electricity price stays above (or below) your set threshold for a minimum length of time in 30-minute blocks.,This Action will boost your hot water for 1 hour.
BwD7MRbi,Date & Time,Every hour at,IF every hour at quarter intervals,Honeywell Total Connect Comfort,Set fan to on or auto,", THEN configures thermostat fan mode [ACTION_Z].",Thermostat/Heating,"This Trigger fires once an hour at :00, :15, :30, or :45 minutes past the hour.",This Action will set the Honeywell thermostat fan to On where the fan is always on or Auto where the fan runs only when the heating or cooling system is on.
BxeTHNUZ,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase,Honeywell Total Connect Comfort,Set temperature for a period of time,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",This Action will set your Honeywell thermostat to hold a temperature for a specified period of time. The schedule will resume when the time expires.
ByTN2Veu,Somfy Protect,System is armed,IF a security system is armed,Nest Thermostat,Set temperature,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,This Trigger fires every time your Myfox Security system is armed.,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.
C4hCGRqW,Notion,Temperature crosses a threshold,IF temperature crosses a threshold,Nest Thermostat,Set temperature,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,This trigger fires when the current temperature goes above or below your set temperature thresholds.,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.
CEKiNjSA,Date & Time,Every day at,IF every day at a specified time,GE Appliances GeoSpring™,Set temperature,", THEN sets the water heater temperature [ACTION_Z].",Thermostat/Heating,This Trigger fires every single day at a specific time set by you.,This Action will set the temperature of your GE water heater.
CEpvXNuQ,Google Assistant,Say a simple phrase,IF a voice assistant is activated with a specific phrase,Nest Thermostat,Set temperature,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.
CGK3ui4b,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase,Honeywell Total Connect Comfort,Set temperature for a period of time,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",This Action will set your Honeywell thermostat to hold a temperature for a specified period of time. The schedule will resume when the time expires.
CHP4vM8F,Nest Protect,Carbon monoxide emergency,IF Nest Protect detects carbon monoxide,ecobee,Set thermostat comfort profile for X hours,", THEN sets a timed [ACTION_X] to hold.",Thermostat/Heating,This Trigger fires every time the Nest Protect you specify detects dangerous carbon monoxide levels.,This Action will set the thermostat into a hold using the settings from the specified comfort profile. This comfort profile hold will remain in effect for the specified number of hours.
CQJqNCDE,Apilio,Receive an event from Apilio,IF a message containing a key phrase is sent,Heatmiser,Cancel Standby Mode,", THEN cancels [ACTION_X].",Thermostat/Heating,This trigger fires every time IFTTT receives a specific event from Apilio.,This Action will cancel Standby Mode on the selected Heatmiser Thermostat.
CRAELpwb,Google Assistant,Say a phrase with a text ingredient,IF a voice assistant is activated with a specific phrase,Nest Thermostat,Set temperature,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase like “Post a tweet saying ‘New high score.’” **Use the $ symbol to specify where you'll say the text ingredient,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.
CSYbxBFr,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase,Hive Active Heating™ - UK and Europe,Boost heating ,", THEN boosts heating [ACTION_Y].",Thermostat/Heating,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",This Action will boost heating to the temperature and duration you specify.
CWA7fdxG,Amazon Alexa,Your Alarm goes off,IF an alarm triggers,Heatzy,Set heat mode,", THEN sets heating mode [ACTION_Z].",Thermostat/Heating,This Trigger fires every time your alarm goes off.,This action will set a specific device on heat mode
CXKktyrG,Apilio,Receive an event from Apilio,IF a message containing a key phrase is sent,Heatmiser,Cancel Standby Mode,", THEN cancels [ACTION_X].",Thermostat/Heating,This trigger fires every time IFTTT receives a specific event from Apilio.,This Action will cancel Standby Mode on the selected Heatmiser Thermostat.
CZAvFh2R,Date & Time,Every day at,IF every day at a specified time,tadoº Heating,Return to tado⁠° automatic control,", THEN sets the room temperature [ACTION_Z].",Thermostat/Heating,This Trigger fires every single day at a specific time set by you.,"This Action will return control of your heating to tado⁠°, using your user-defined settings (e.g. location and Smart Schedule) to automatically determine the right room temperature."
CZuJLR8E,Amazon Alexa,Item added to your To Do List,IF an item is added to a to-do list,Nest Thermostat,Set temperature,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,This Trigger fires every time you add an item to your To Do List.,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.
CbekN7Ks,Caavo,Caavo search,IF a media search is performed,ecobee,Set thermostat hold for X hours,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,This trigger fires when Caavo Control Center performs any search query.,This action will set the thermostat into a hold with the specified temperature for the specified number of hours.
CdcWLnRv,Google Assistant,Say a phrase with a text ingredient,IF a voice assistant is activated with a specific phrase,Nest Thermostat,Set temperature,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase like “Post a tweet saying ‘New high score.’” **Use the $ symbol to specify where you'll say the text ingredient,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.
CeDtvx7M,Apilio,Receive an event from Apilio,IF a message containing a key phrase is sent,Heatmiser,Set Standby Mode,", THEN activates [ACTION_X].",Thermostat/Heating,This trigger fires every time IFTTT receives a specific event from Apilio.,This Action will activate Standby Mode on the selected Heatmiser Thermostat.
CehCbLtS,Google Assistant,Say a simple phrase,IF a voice assistant is activated with a specific phrase,Nest Thermostat,Set temperature,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.
CgSnqLU3,Location,You enter an area,IF the user enters a specified area,Nest Thermostat,Set temperature,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,This Trigger fires every time you enter an area you specify.,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.
Chp2wYxW,Apilio,Receive an event from Apilio,IF a message containing a key phrase is sent,Nature Remo,Turn on air conditioner,", THEN turns on the air conditioner and configures settings to [ACTION_X].",Thermostat/Heating,This trigger fires every time IFTTT receives a specific event from Apilio.,"This action will turn on your air conditioner and set target temperature, AC operation mode and air volume settings.

Note: Please use the Control Home Appliances actions for the button registered by learning mode."
ChtNEkRi,Location,You enter an area,IF the user enters a specified area,Hive Active Heating™ - UK and Europe,Boost heating ,", THEN boosts heating [ACTION_Y].",Thermostat/Heating,This Trigger fires every time you enter an area you specify.,This Action will boost heating to the temperature and duration you specify.
Cm27RvAQ,Daikin Online Controller,Temperature drops below,IF indoor temperature drops below a specified threshold,Nest Thermostat,Set temperature,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,This Trigger fires within 15 minutes of detection of the indoor temperature dropping below the specified temperature threshold.,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.
CpBm9Jz6,smanos connect,System in home mode,IF a security system is armed,ecobee,Set thermostat comfort profile until next transition,", THEN sets a timed [ACTION_X] to hold.",Thermostat/Heating,This Triggers fires when your smanos system is armed to stay (home) mode with you and/or your family in the house.,This Action will set the thermostat into a hold using the settings from the specified comfort profile. This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
CsGZSf67,Weather Underground,Sunset,IF a set number of minutes before sunset,Nest Thermostat,Set temperature,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,This Trigger fires within 15 minutes of the sunset in your location.,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.
CwWM2JfY,Google Calendar,Event from search starts,IF shortly before a calendar event with a specific keyword occurs,Sensibo,Turn A/C on,", THEN turns on the air conditioner [ACTION_Z].",Thermostat/Heating,"This Trigger fires a set number of minutes before the starting time of an event on your Calendar that contains a specific keyword or phrase in the event’s Title, Description, or Location. Ingredient will be based on the zone set in Google.","Turn your A/C on with a set temperature, mode and fan level."
D25JCBxU,Button widget,Button press,IF a button is pressed,Netatmo Thermostat,Switch schedule,", THEN updates the thermostat schedule [ACTION_W].",Thermostat/Heating,This trigger fires every time you press the button.,This Action will change the schedule for the corresponding home.
D27eVAj5,Apilio,Receive an event from Apilio,IF a message containing a key phrase is sent,Heatmiser,Set Temperature,", THEN sets the temperature [ACTION_Z] on thermostat.",Thermostat/Heating,This trigger fires every time IFTTT receives a specific event from Apilio.,The Action will set the temperature on the selected Heatmiser Thermostat.
D7F5Z4rA,Date & Time,Every day at,IF every day at a specified time,Honeywell Total Connect Comfort,Set temperature for a period of time,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,This Trigger fires every single day at a specific time set by you.,This Action will set your Honeywell thermostat to hold a temperature for a specified period of time. The schedule will resume when the time expires.
D9htMHwL,Nest Thermostat,Temperature rises above,IF temperature rises above a threshold,Nest Thermostat,Set temperature,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,This Trigger fires every time the temperature rises above a threshold you specify.,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.
DDPG5heU,Button widget,Button press,IF a button is pressed,ecobee,Set thermostat comfort profile until next transition,", THEN sets a timed [ACTION_X] to hold.",Thermostat/Heating,This trigger fires every time you press the button.,This Action will set the thermostat into a hold using the settings from the specified comfort profile. This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
DFHPYsNz,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase,ecobee,Set thermostat hold until next transition,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",This action will set the thermostat into a hold with the specified temperature and the end date/time will be set to the next climate transition in the program.
DHhLfW8j,Date & Time,Every day of the week at,IF is one of the specific days of the week at a specified time,Wink: Aros,Turn A/C on,", THEN turns on the air conditioner in [ACTION_X].",Thermostat/Heating,This Trigger fires only on specific days of the week at the time you provide.,This Action will turn your Aros A/C on and set to a temperature you specify.
DKcWa2tM,Weather Underground,Current temperature rises above,IF local temperature is above a specified value,AQUAREA Smart Cloud,Change Heat Mode settings,", THEN sets heating mode [ACTION_Z].",Thermostat/Heating,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,This action will change operation settings for Heat Mode in your device. 
DPqDta3x,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase,Nest Thermostat,Set temperature range,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",This Action will set a Nest Thermostat in Heat-Cool mode to the temperature range you specify. NOTE: works only when Nest is set to Home.
DQDZfz5a,Google Calendar,Event from search starts,IF shortly before a calendar event with a specific keyword occurs,Netatmo Thermostat,Set to away mode with a time limit,", THEN sets home to [ACTION_X].",Thermostat/Heating,"This Trigger fires a set number of minutes before the starting time of an event on your Calendar that contains a specific keyword or phrase in the event’s Title, Description, or Location. Ingredient will be based on the zone set in Google.",This Action will set your home to away mode for a time limit you specify.
DQUzP6qd,Location,You enter an area,IF the user enters a specified area,Nest Thermostat,Turn on fan for 15 minutes,", THEN configures thermostat fan mode [ACTION_Z].",Thermostat/Heating,This Trigger fires every time you enter an area you specify.,This Action will turn on your HVAC system fan for the amount of time you specify in your Nest fan timer setting (default is 15 minutes). NOTE: works only if you have a fan option and Nest is set to Home.
DQX3pCNt,RescueTime,FocusTime session finishes,IF a Focus Time session starts or ends,Nest Thermostat,Set temperature,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,This Trigger fires at the end of a Focus Time session.,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.
DR3ANX4m,Button widget,Button press,IF a button is pressed,Home Connect Fridge Freezer,Activate refrigerator Super Cooling mode,", THEN temporarily boosts refrigerator cooling [ACTION_Y].",Thermostat/Heating,This trigger fires every time you press the button.,This action will temporarily cool the refrigerator at maximum power.
DV8BN4nb,ecobee,Thermostat outdoor temperature is less than,IF temperature drops below a threshold,ecobee,Set thermostat comfort profile until next transition,", THEN sets a timed [ACTION_X] to hold.",Thermostat/Heating,This trigger fires every time your ecobee thermostat senses that the outdoor temperature is less than a specific value you supply.,This Action will set the thermostat into a hold using the settings from the specified comfort profile. This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
Da3gqxWQ,SwitchBot,Motion detected or no motion detected,IF motion is detected,Heatzy,Set heat mode,", THEN sets heating mode [ACTION_Z].",Thermostat/Heating,"When Motion Sensor detected motion or no motion, the SwitchBot motion sensor will try to trigger the service.",This action will set a specific device on heat mode
DbXkyZ8H,Google Assistant,Say a phrase with a number,IF a voice assistant is activated with a specific phrase,Honeywell Total Connect Comfort,Set temperature for a period of time,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase like “Set Nest thermostat to 68.” **Use the # symbol to specify where you'll say the number ingredient,This Action will set your Honeywell thermostat to hold a temperature for a specified period of time. The schedule will resume when the time expires.
DqNE8Yyx,EDF : vos plages tarifaires,Début de plage tarifaire,IF an energy tariff period starts,Netatmo Thermostat,Switch schedule,", THEN updates the thermostat schedule [ACTION_W].",Thermostat/Heating,Ce trigger se déclenche lorsque la plage tarifaire choisie commence dans votre logement.,This Action will change the schedule for the corresponding home.
DqQtbf2H,Nuki Smart Lock,Arrive home,IF a door is unlocked,Heatzy,Set heat mode,", THEN sets heating mode [ACTION_Z].",Thermostat/Heating,This trigger fires every time someone unlocks the door with Auto Unlock.,This action will set a specific device on heat mode
DtDUJWvg,Google Assistant,Say a simple phrase,IF a voice assistant is activated with a specific phrase,tadoº Heating,Turn heating on,", THEN starts heating [ACTION_Z].",Thermostat/Heating,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",This Action will start your heating.
Du2dwsQW,Weather Underground,Sunrise,IF it is sunrise,Mysa Thermostat,Change the setpoint,", THEN the thermostat to the temperature you specify [ACTION_W].",Thermostat/Heating,This Trigger fires within 15 minutes of the sunrise in your location.,This action will change the setpoint of a device to the desired value.
Dxzi4T2h,Button widget,Button press,IF a button is pressed,Warmup Smart Thermostat,Set temperature,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,This trigger fires every time you press the button.,This action will set your thermostat to a specified temperature.
DyQX9wRM,Location,You exit an area,IF the user exits a specified area,Mysa Thermostat,Change the setpoint,", THEN the thermostat to the temperature you specify [ACTION_W].",Thermostat/Heating,This Trigger fires every time you exit an area you specify.,This action will change the setpoint of a device to the desired value.
EAFifbkC,True Energy Smart Home Norway,Electricity in Norway is Expensive,IF electricity prices are high,Home Connect Fridge Freezer,Set freezer temperature,", THEN sets the freezer temperature [ACTION_Z].",Thermostat/Heating,This trigger fires at the hours where electricity in Norway is expensive.,This action will set the freezer temperature.
EBtXfDbN,Location,You enter an area,IF the user enters a specified area,Heatmiser,Set Temperature,", THEN sets the temperature [ACTION_Z] on thermostat.",Thermostat/Heating,This Trigger fires every time you enter an area you specify.,The Action will set the temperature on the selected Heatmiser Thermostat.
EGWSsTLh,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase,Honeywell Total Connect Comfort,Set temperature for a period of time,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",This Action will set your Honeywell thermostat to hold a temperature for a specified period of time. The schedule will resume when the time expires.
EL8zVkhx,Nest Protect,Smoke alarm warning,IF Nest Protect detects smoke,Nest Thermostat,Turn on fan for 15 minutes,", THEN configures thermostat fan mode [ACTION_Z].",Thermostat/Heating,This Trigger fires every time the Nest Protect you specify detects warning smoke levels.,This Action will turn on your HVAC system fan for the amount of time you specify in your Nest fan timer setting (default is 15 minutes). NOTE: works only if you have a fan option and Nest is set to Home.
EM7X9xqQ,Location,You exit an area,IF the user exits a specified area,Hive Active Heating™ - UK and Europe,Turn off thermostat ,", THEN turns heating mode off [ACTION_W].",Thermostat/Heating,This Trigger fires every time you exit an area you specify.,This Action will set the heating mode to off.
EPD2npwT,Apilio,Receive an event from Apilio,IF a message containing a key phrase is sent,Heatmiser,Cancel Standby Mode,", THEN cancels [ACTION_X].",Thermostat/Heating,This trigger fires every time IFTTT receives a specific event from Apilio.,This Action will cancel Standby Mode on the selected Heatmiser Thermostat.
EQk9bMGA,ComEd,Peak Time Savings - Savings Hours Announced,IF peak energy savings hours are announced,ecobee,Set thermostat comfort profile for X hours,", THEN sets a timed [ACTION_X] to hold.",Thermostat/Heating,This trigger activates whenever Peak Time Savings Hours are announced and during various stages of an event.,This Action will set the thermostat into a hold using the settings from the specified comfort profile. This comfort profile hold will remain in effect for the specified number of hours.
EfmJCYcA,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase,Nest Thermostat,Set temperature,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.
EgGXeZ8C,ComEd,Manage your Carbon Footprint - Change in carbon intensity,IF carbon intensity changes,ecobee,Resume thermostat program,", THEN cancels the current thermostat event [ACTION_W].",Thermostat/Heating,"This trigger fires whenever the carbon intensity changes for the ComEd service territory, use this trigger to help lower your carbon footprint by reducing your energy during high carbon times",This Action removes the currently running event on the selected thermostat providing the event is not a mandatory demand response event.
Egu9M5Zh,EDF : vos plages tarifaires,Début de plage tarifaire,IF an energy tariff period starts,Netatmo Thermostat,Switch schedule,", THEN updates the thermostat schedule [ACTION_W].",Thermostat/Heating,Ce trigger se déclenche lorsque la plage tarifaire choisie commence dans votre logement.,This Action will change the schedule for the corresponding home.
Eh2dRs5p,abode,Mode changed,IF a security mode changes,ecobee,Set thermostat comfort profile until next transition,", THEN sets a timed [ACTION_X] to hold.",Thermostat/Heating,"This trigger fires when your abode system mode is changed (Away, Home, Standby).",This Action will set the thermostat into a hold using the settings from the specified comfort profile. This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
F6BwDnj7,Location,You enter an area,IF the user enters a specified area,Nest Thermostat,Set temperature,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,This Trigger fires every time you enter an area you specify.,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.
FBWZpmqz,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase,Nest Thermostat,Set temperature,", THEN sets the thermostat temperature [ACTION_Y].",Thermostat/Heating,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.
