id,triggerChannelTitle,triggerTitle,triggerDesc,actionChannelTitle,actionTitle,actionDesc,deviceCategory,originalTrigger,originalAction
D874rJ6k,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase [FREE],Nature Remo,Turn off air conditioner,", THEN turn off the air conditioner [ACTION_W].",Air/Climate,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.","This action will turn off your air conditioner.

Note: Please use the Control home appliances actions for the button registered by learning mode."
DWuvG2Pd,Date & Time,Every day at,IF every day at a specified time [FREE],Levoit Air Purifier,Turn on air purifier,", THEN turns on the air purifier [ACTION_Y].",Air/Climate,This Trigger fires every single day at a specific time set by you.,This action turns on your air purifier.
F3EAXWUz,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase [FREE],Nature Remo,Turn off air conditioner,", THEN turn off the air conditioner [ACTION_W].",Air/Climate,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.","This action will turn off your air conditioner.

Note: Please use the Control home appliances actions for the button registered by learning mode."
FJK85HCz,HAVEN IAQ,PM2.5 threshold is crossed ,IF the air quality is below a specified value,Levoit Air Purifier,Turn off air purifier,", THEN turns off the air purifier [ACTION_W].",Air/Climate,This Trigger fires whenever the measured Particulate Matter of 2.5 microns in size (PM2.5) is above or below the threshold.,This action turns off your air purifier.
HE8cmT9p,Location,You exit an area,IF the user exits a specified area,AC Cloud Control,Execute scene,", THEN set the mode of the air conditioner to [ACTION_X].",Air/Climate,This Trigger fires every time you exit an area you specify.,This Action will execute the indicated scene.
HNkbg5vc,Levoit Air Purifier,Air quality changes,IF an air purifier detects a specific air quality level,Levoit Air Purifier,Change fan speed,", THEN sets the fan to [ACTION_Z] speed.",Air/Climate,"This trigger fires when the air purifier detects a certain air quality (Very Good, Good, Moderate, or Bad).","This action turns the fan to a designated speed (Low, Medium, High)."
HQXD6qWM,Location,You exit an area,IF the user exits a specified area,Daikin Online Controller,Turn AC unit off,", THEN turn off the AC unit [ACTION_W].",Air/Climate,This Trigger fires every time you exit an area you specify.,This Action will turn off your Daikin AC unit. It will be executed within 1 minute.
HSCdJRQk,Location,You enter an area,IF the user enters a specified area,Levoit Air Purifier,Turn on air purifier,", THEN turns on the air purifier [ACTION_Y].",Air/Climate,This Trigger fires every time you enter an area you specify.,This action turns on your air purifier.
J2U6BaJR,Location,You exit an area,IF the user exits a specified area,AC Cloud Control,Turn off A/C,", THEN turn off the AC unit [ACTION_W].",Air/Climate,This Trigger fires every time you exit an area you specify.,This Action will turn your IntesisHome A/C off.
JLnBQSZu,Button widget,Button press,IF a button is pressed [FREE],Daikin Online Controller,Turn AC unit off,", THEN turn off the AC unit [ACTION_W].",Air/Climate,This trigger fires every time you press the button.,This Action will turn off your Daikin AC unit. It will be executed within 1 minute.
JvBmKwVC,Button widget,Button press,IF a button is pressed [FREE],AC Cloud Control,Turn off A/C,", THEN turn off the AC unit [ACTION_W].",Air/Climate,This trigger fires every time you press the button.,This Action will turn your IntesisHome A/C off.
JwQSGzKV,Vimar VIEW,Temperature Sensor,IF the house temperature satisfies a threshold condition,Daikin Online Controller,Turn AC unit off,", THEN turn off the AC unit [ACTION_W].",Air/Climate,This trigger fires when the temperature satisfies a condition with a threshold,This Action will turn off your Daikin AC unit. It will be executed within 1 minute.
KPGfX4H9,Button widget,Button press,IF a button is pressed [FREE],Daikin Online Controller,Enable/Disable Holiday mode,", THEN enable [ACTION_X] on the AC unit.",Air/Climate,This trigger fires every time you press the button.,This Action will enable/disable Holiday mode on all your Daikin AC units. It will be executed within 1 minute.
Khq2rKjy,AC Cloud Control,Temperature rises above,IF a device detects temperature above a specified threshold,AC Cloud Control,Turn on A/C,", THEN turn on the AC unit [ACTION_X].",Air/Climate,This Trigger fires every time your A/C unit detects temperatures above a value you specify.,This Action will turn your IntesisHome A/C on.
KmPXDheA,Button widget,Button press,IF a button is pressed [FREE],AC Cloud Control,Enable timer,", THEN enable the indicated timer [ACTION_Y].",Air/Climate,This trigger fires every time you press the button.,This Action will enable the indicated timer.
LXGgwEN6,Weather Underground,Current temperature rises above,IF local temperature is above a specified value,AC Cloud Control,Turn on A/C,", THEN turn on the AC unit [ACTION_X].",Air/Climate,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,This Action will turn your IntesisHome A/C on.
LeFUNhy8,Vimar VIEW,Temperature Sensor,IF the house temperature satisfies a threshold condition,Daikin Online Controller,Turn AC unit on,", THEN turn on the AC unit [ACTION_X].",Air/Climate,This trigger fires when the temperature satisfies a condition with a threshold,"This Action will turn on your Daikin AC unit, or change its settings. It will be executed within 1 minute."
Lyfg2YER,SmartThings,Switched off,IF a smart device is switched off [FREE],Ambi Climate,Turn off your A/C,", THEN turn off the air conditioner in a specified room [ACTION_W].",Air/Climate,This Trigger fires every time your SmartThings device is switched off.,This Action will turn off your A/C in the specified room.
MWjdEKnc,Location,You enter an area,IF the user enters a specified area,AC Cloud Control,Execute scene,", THEN set the mode of the air conditioner to [ACTION_X].",Air/Climate,This Trigger fires every time you enter an area you specify.,This Action will execute the indicated scene.
Mpct74jn,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase [FREE],Daikin Online Controller,Turn AC unit on,", THEN turn on the AC unit [ACTION_X].",Air/Climate,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.","This Action will turn on your Daikin AC unit, or change its settings. It will be executed within 1 minute."
MuAhGWUt,HAVEN IAQ,PM2.5 threshold is crossed ,IF the air quality is below a specified value,Levoit Air Purifier,Turn off air purifier,", THEN turns off the air purifier [ACTION_W].",Air/Climate,This Trigger fires whenever the measured Particulate Matter of 2.5 microns in size (PM2.5) is above or below the threshold.,This action turns off your air purifier.
N46aLuxj,Weather Underground,Current temperature drops below,IF local temperature is below a specified value,AC Cloud Control,Turn off A/C,", THEN turn off the AC unit [ACTION_W].",Air/Climate,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,This Action will turn your IntesisHome A/C off.
NX6fUqxM,Nest Thermostat,Nest set to Away,IF every time no one is at home,AC Cloud Control,Execute scene,", THEN set the mode of the air conditioner to [ACTION_X].",Air/Climate,This Trigger fires every time the home you specify is set to Away.,This Action will execute the indicated scene.
Ndug5Tcr,Google Calendar,Event from search starts,IF shortly before a calendar event with a specific keyword occurs [FREE],Daikin Online Controller,Enable/Disable Holiday mode,", THEN enable [ACTION_X] on the AC unit.",Air/Climate,"This Trigger fires a set number of minutes before the starting time of an event on your Calendar that contains a specific keyword or phrase in the event’s Title, Description, or Location. Ingredient will be based on the zone set in Google.",This Action will enable/disable Holiday mode on all your Daikin AC units. It will be executed within 1 minute.
NjsUvNHa,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase [FREE],Daikin Online Controller,Turn AC unit on,", THEN turn on the AC unit [ACTION_X].",Air/Climate,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.","This Action will turn on your Daikin AC unit, or change its settings. It will be executed within 1 minute."
PRcYVGnv,Google Calendar,Event from search starts,IF shortly before a calendar event with a specific keyword occurs [FREE],AC Cloud Control,Disable timer,", THEN disable the indicated timer [ACTION_Y].",Air/Climate,"This Trigger fires a set number of minutes before the starting time of an event on your Google Calendar that contains a specific keyword or phrase. The search looks at the event’s Title, Description, and Location.",This Action will disable the indicated timer.
Q3vfadXz,Ambi Climate,Temperature drops below a threshold,IF a device detects temperature below a specified threshold,Ambi Climate,Run your A/C in comfort mode,", THEN turn on the air conditioner in a specified room in [ACTION_X].",Air/Climate,This Trigger fires when your device detects the temperature is below the threshold you specified.,"This Action will turn on your A/C in the specified room, and run it in Comfort mode."
R749WECJ,Niko Home Control,Virtual Device turned on,IF a device is turned on [FREE],Daikin Online Controller,Turn AC unit on,", THEN turn on the AC unit [ACTION_X].",Air/Climate,Virtual Device turned on,"This Action will turn on your Daikin AC unit, or change its settings. It will be executed within 1 minute."
RJfB79i6,Date & Time,Every day at,IF every day at a specified time [FREE],Levoit Air Purifier,Turn display on/off,", THEN turns the AC unit display on [ACTION_Y].",Air/Climate,This Trigger fires every single day at a specific time set by you.,This action turns the display on or off.
RZiQD8Ay,Ambi Climate,Temperature rises above a threshold,IF a device detects temperature above a specified threshold,Ambi Climate,Run your A/C in comfort mode,", THEN turn on the air conditioner in a specified room in [ACTION_X].",Air/Climate,This Trigger fires when your device detects the temperature is above the threshold you specified.,"This Action will turn on your A/C in the specified room, and run it in Comfort mode."
SFrVgsED,Weather Underground,Sunset,IF a set number of minutes have passed after the sunset,AC Cloud Control,Execute scene,", THEN set the mode of the air conditioner to [ACTION_X].",Air/Climate,This Trigger fires within 15 minutes of the sunset in your location.,This Action will execute the indicated scene.
SMUBWqQm,Button widget,Button press,IF a button is pressed [FREE],AC Cloud Control,Disable timer,", THEN disable the indicated timer [ACTION_Y].",Air/Climate,This trigger fires every time you press the button.,This Action will disable the indicated timer.
Sc7LAfCm,Weather Underground,Sunrise,IF a set number of minutes have passed after the sunrise,Levoit Air Purifier,Turn off air purifier,", THEN turns off the air purifier [ACTION_W].",Air/Climate,This Trigger fires within 15 minutes of the sunrise in your location.,This action turns off your air purifier.
U6rju9yJ,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase [FREE],Daikin Online Controller,Turn AC unit on,", THEN turn on the AC unit [ACTION_X].",Air/Climate,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.","This Action will turn on your Daikin AC unit, or change its settings. It will be executed within 1 minute."
UB8HFcgu,Google Assistant,Say a phrase with a text ingredient,IF a voice assistant is activated with a specific phrase [FREE],Daikin Online Controller,Turn AC unit on,", THEN turn on the AC unit [ACTION_X].",Air/Climate,This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase like “Post a tweet saying ‘New high score.’” **Use the $ symbol to specify where you'll say the text ingredient,"This Action will turn on your Daikin AC unit, or change its settings. It will be executed within 1 minute."
UNy5xBqu,Weather Underground,Current temperature rises above,IF local temperature is above a specified value,Ambi Climate,Run your A/C in comfort mode,", THEN turn on the air conditioner in a specified room in [ACTION_X].",Air/Climate,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,"This Action will turn on your A/C in the specified room, and run it in Comfort mode."
VuNH9rcT,Netatmo Thermostat,Entering manual mode,IF every time a room enters manual mode,Daikin Online Controller,Turn AC unit on,", THEN turn on the AC unit [ACTION_X].",Air/Climate,This Triggers fire every time your room enters manual mode.,"This Action will turn on your Daikin AC unit, or change its settings. It will be executed within 1 minute."
WEJLepXU,Date & Time,Every day at,IF every day at a specified time [FREE],AC Cloud Control,Turn off A/C,", THEN turn off the AC unit [ACTION_W].",Air/Climate,This Trigger fires every single day at a specific time set by you.,This Action will turn your IntesisHome A/C off.
WJgrnER4,Button widget,Button press,IF a button is pressed [FREE],AC Cloud Control,Disable timer,", THEN disable the indicated timer [ACTION_Y].",Air/Climate,This trigger fires every time you press the button.,This Action will disable the indicated timer.
WMTwcB7q,Nest Thermostat,Nest set to Home,IF every time someone is at home,AC Cloud Control,Execute scene,", THEN set the mode of the air conditioner to [ACTION_X].",Air/Climate,This Trigger fires every time the home you specify is set to Home.,This Action will execute the indicated scene.
WTUE5PNY,Daikin Online Controller,Temperature rises above,IF indoor temperature rises above a specified threshold,Daikin Online Controller,Turn AC unit off,", THEN turn off the AC unit [ACTION_W].",Air/Climate,This Trigger fires within 15 minutes of detection of the indoor temperature rising above the specified temperature threshold.,This Action will turn off your Daikin AC unit. It will be executed within 1 minute.
WftaBQsD,Button widget,Button press,IF a button is pressed [FREE],AC Cloud Control,Execute scene,", THEN set the mode of the air conditioner to [ACTION_X].",Air/Climate,This trigger fires every time you press the button.,This Action will execute the indicated scene.
WsKfhDmv,Location,You enter an area,IF the user enters a specified area,Ambi Climate,Run your A/C in comfort mode,", THEN turn on the air conditioner in a specified room in [ACTION_X].",Air/Climate,This Trigger fires every time you enter an area you specify.,"This Action will turn on your A/C in the specified room, and run it in Comfort mode."
Wu5PaqVR,Daikin Online Controller,Temperature drops below,IF indoor temperature drops below a specified threshold,Daikin Online Controller,Turn AC unit on,", THEN turn on the AC unit [ACTION_X].",Air/Climate,This Trigger fires within 15 minutes of detection of the indoor temperature dropping below the specified temperature threshold.,"This Action will turn on your Daikin AC unit, or change its settings. It will be executed within 1 minute."
WziHrSD9,SmartThings,Switched on,IF a smart device is switched on [FREE],Ambi Climate,Run your A/C in comfort mode,", THEN turn on the air conditioner in a specified room in [ACTION_X].",Air/Climate,This Trigger fires every time your SmartThings device is switched on.,"This Action will turn on your A/C in the specified room, and run it in Comfort mode."
XHX3uzLd,Fort Collins Utilities Time of Day Pricing,BEFORE Time of Day Peak Rates START,IF before time-of-day peak rates start,GE Appliances Window AC,Turn on AC,", THEN turn on the air conditioner [ACTION_Y].",Air/Climate,This trigger fires before time-of-day peak rates start.,This Action will turn on the air conditioner unit.
XdLj3ZsA,Button widget,Button press,IF a button is pressed [FREE],AC Cloud Control,Execute scene,", THEN set the mode of the air conditioner to [ACTION_X].",Air/Climate,This trigger fires every time you press the button.,This Action will execute the indicated scene.
YQpF5Yfg,Weather Underground,Current temperature rises above,IF local temperature is above a specified value,Daikin Online Controller,Turn AC unit on,", THEN turn on the AC unit [ACTION_X].",Air/Climate,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,"This Action will turn on your Daikin AC unit, or change its settings. It will be executed within 1 minute."
YiweWLNC,AC Cloud Control,Temperature rises above,IF a device detects temperature above a specified threshold,AC Cloud Control,Execute scene,", THEN set the mode of the air conditioner to [ACTION_X].",Air/Climate,This Trigger fires every time your A/C unit detects temperatures above a value you specify.,This Action will execute the indicated scene.
ZRcvtNaW,Location,You exit an area,IF the user exits a specified area,Ambi Climate,Turn off your A/C,", THEN turn off the air conditioner in a specified room [ACTION_W].",Air/Climate,This Trigger fires every time you exit an area you specify.,This Action will turn off your A/C in the specified room.
ZcdU2jKN,Vimar VIEW,Room Temperature,IF the room temperature satisfies a threshold condition,Daikin Online Controller,Turn AC unit on,", THEN turn on the AC unit [ACTION_X].",Air/Climate,This trigger fires when the room temperature satisfies a condition with a threshold,"This Action will turn on your Daikin AC unit, or change its settings. It will be executed within 1 minute."
aQSE2X6M,Smappee,Solar power drops below,IF solar power drops below a specified value,Daikin Online Controller,Turn AC unit off,", THEN turn off the AC unit [ACTION_W].",Air/Climate,This trigger fires when the solar power drops below the specified value in watts.,This Action will turn off your Daikin AC unit. It will be executed within 1 minute.
b6sPrFwp,Button widget,Button press,IF a button is pressed [FREE],AC Cloud Control,Turn on A/C,", THEN turn on the AC unit [ACTION_X].",Air/Climate,This trigger fires every time you press the button.,This Action will turn your IntesisHome A/C on.
bMqwJngK,Epion,Temperature above a specified value,IF a device temperature exceeds a threshold,Daikin Online Controller,Turn AC unit on,", THEN turn on the AC unit [ACTION_X].",Air/Climate,This trigger fires when the temperature for a specific device exceeds the specified threshold.,"This Action will turn on your Daikin AC unit, or change its settings. It will be executed within 1 minute."
cGYmQDZP,Button widget,Button press,IF a button is pressed [FREE],Nature Remo,Turn off air conditioner,", THEN turn off the air conditioner [ACTION_W].",Air/Climate,This trigger fires every time you press the button.,"This action will turn off your air conditioner.

Note: Please use the Control home appliances actions for the button registered by learning mode."
ePCSZgiN,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase [FREE],Daikin Online Controller,Turn AC unit on,", THEN turn on the AC unit [ACTION_X].",Air/Climate,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.","This Action will turn on your Daikin AC unit, or change its settings. It will be executed within 1 minute."
fbFwV4ph,Location,You exit an area,IF the user exits a specified area,Nature Remo,Turn off air conditioner,", THEN turn off the air conditioner [ACTION_W].",Air/Climate,This Trigger fires every time you exit an area you specify.,"This action will turn off your air conditioner.

Note: Please use the Control home appliances actions for the button registered by learning mode."
fcYpsEdh,AC Cloud Control,Temperature drops below,IF an AC unit detects temperature below a specified value,AC Cloud Control,Turn on A/C,", THEN turn on the AC unit [ACTION_X].",Air/Climate,This Trigger fires every time your A/C unit detects temperatures below a value you specify.,This Action will turn your IntesisHome A/C on.
ftnsCkDW,Apilio,Receive an event from Apilio,IF ifttt receives a specified event from an external service [FREE],AC Cloud Control,Turn on A/C,", THEN turn on the AC unit [ACTION_X].",Air/Climate,This trigger fires every time IFTTT receives a specific event from Apilio.,This Action will turn your IntesisHome A/C on.
gRMwxbW4,Myfox HomeControl,System is partially armed,IF a security system is partially armed,Daikin Online Controller,Turn AC unit off,", THEN turn off the AC unit [ACTION_W].",Air/Climate,This Trigger fires every time your Myfox security system is partially armed.,This Action will turn off your Daikin AC unit. It will be executed within 1 minute.
gpsbgFRj,Button widget,Button press,IF a button is pressed [FREE],Daikin Online Controller,Turn AC unit on,", THEN turn on the AC unit [ACTION_X].",Air/Climate,This trigger fires every time you press the button.,"This Action will turn on your Daikin AC unit, or change its settings. It will be executed within 1 minute."
hDBK3Nms,Weather Underground,Current humidity level rises above,IF local humidity is above a specified value,Daikin Online Controller,Turn AC unit on,", THEN turn on the AC unit [ACTION_X].",Air/Climate,This Trigger monitors your local humidity and fires every time the humidity rises above the value you specify.,"This Action will turn on your Daikin AC unit, or change its settings. It will be executed within 1 minute."
hGwEsYfx,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase [FREE],GE Appliances Window AC,Set AC mode,", THEN set the mode of the air conditioner to [ACTION_X].",Air/Climate,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",This Action will set the mode of the air conditioner unit.
hHhcCeLz,Daikin Online Controller,Unit turned on,IF a unit has been turned on and a set number of minutes have passed,Daikin Online Controller,Turn AC unit off,", THEN turn off the AC unit [ACTION_W].",Air/Climate,This Trigger fires within 15 minutes of your unit having been turned on.,This Action will turn off your Daikin AC unit. It will be executed within 1 minute.
iBWsxYgD,Date & Time,Every day at,IF every day at a specified time [FREE],Levoit Air Purifier,Change mode,", THEN change the AC unit mode to [ACTION_X].",Air/Climate,This Trigger fires every single day at a specific time set by you.,"This action changes modes (Auto, Sleep)."
iDKbtjBq,Location,You enter an area,IF the user enters a specified area,AC Cloud Control,Turn on A/C,", THEN turn on the AC unit [ACTION_X].",Air/Climate,This Trigger fires every time you enter an area you specify.,This Action will turn your IntesisHome A/C on.
jGaxdFkC,Vimar VIEW,Room Temperature,IF the room temperature satisfies a threshold condition,Daikin Online Controller,Turn AC unit off,", THEN turn off the AC unit [ACTION_W].",Air/Climate,This trigger fires when the room temperature satisfies a condition with a threshold,This Action will turn off your Daikin AC unit. It will be executed within 1 minute.
jHPbyVxC,Date & Time,Every day at,IF every day at a specified time [FREE],Daikin Online Controller,Turn AC unit on,", THEN turn on the AC unit [ACTION_X].",Air/Climate,This Trigger fires every single day at a specific time set by you.,"This Action will turn on your Daikin AC unit, or change its settings. It will be executed within 1 minute."
jHUzVtBY,Android Device,Disconnects from a specific WiFi network,IF your Android device connects to a specified wifi network,Ambi Climate,Turn off your A/C,", THEN turn off the air conditioner in a specified room [ACTION_W].",Air/Climate,This Trigger fires every time your Android device disconnects from a WiFi network you specify.,This Action will turn off your A/C in the specified room.
jTR7cd9H,Weather Underground,Sunset,IF a set number of minutes have passed after the sunset,Levoit Air Purifier,Turn on air purifier,", THEN turns on the air purifier [ACTION_Y].",Air/Climate,This Trigger fires within 15 minutes of the sunset in your location.,This action turns on your air purifier.
jfuN8Zsz,Location,You exit an area,IF the user exits a specified area,Daikin Online Controller,Turn AC unit off,", THEN turn off the AC unit [ACTION_W].",Air/Climate,This Trigger fires every time you exit an area you specify.,This Action will turn off your Daikin AC unit. It will be executed within 1 minute.
jvpDue5s,Niko Home Control,Routine activated,IF a routine is activated [FREE],Daikin Online Controller,Turn AC unit off,", THEN turn off the AC unit [ACTION_W].",Air/Climate,This trigger fires when a Routine is activated.,This Action will turn off your Daikin AC unit. It will be executed within 1 minute.
jxtCfXkU,Google Assistant,Say a simple phrase,IF a voice assistant is activated with a specific phrase [FREE],Ambi Climate,Turn off your A/C,", THEN turn off the air conditioner in a specified room [ACTION_W].",Air/Climate,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",This Action will turn off your A/C in the specified room.
mAfd6YTQ,Location,You exit an area,IF the user exits a specified area,Nature Remo,Turn off air conditioner,", THEN turn off the air conditioner [ACTION_W].",Air/Climate,This Trigger fires every time you exit an area you specify.,"This action will turn off your air conditioner.

Note: Please use the Control home appliances actions for the button registered by learning mode."
pAGCaFrt,Android Device,Disconnects from a specific WiFi network,IF your Android device connects to a specified wifi network,AC Cloud Control,Execute scene,", THEN set the mode of the air conditioner to [ACTION_X].",Air/Climate,This Trigger fires every time your Android device disconnects from a WiFi network you specify.,This Action will execute the indicated scene.
pjw34AuV,Button widget,Button press,IF a button is pressed [FREE],Daikin Online Controller,Enable/Disable Holiday mode,", THEN enable [ACTION_X] on the AC unit.",Air/Climate,This trigger fires every time you press the button.,This Action will enable/disable Holiday mode on all your Daikin AC units. It will be executed within 1 minute.
qUCfvWxq,Button widget,Button press,IF a button is pressed [FREE],AC Cloud Control,Enable timer,", THEN enable the indicated timer [ACTION_Y].",Air/Climate,This trigger fires every time you press the button.,This Action will enable the indicated timer.
qUFKTcXM,Date & Time,Every day at,IF every day at a specified time [FREE],Levoit Air Purifier,Turn off air purifier,", THEN turns off the air purifier [ACTION_W].",Air/Climate,This Trigger fires every single day at a specific time set by you.,This action turns off your air purifier.
qxvDwuZR,Date & Time,Every day at,IF every day at a specified time [FREE],Ambi Climate,Run your A/C in comfort mode,", THEN turn on the air conditioner in a specified room in [ACTION_X].",Air/Climate,This Trigger fires every single day at a specific time set by you.,"This Action will turn on your A/C in the specified room, and run it in Comfort mode."
s8KZ9ENx,Location,You enter an area,IF the user enters a specified area,AC Cloud Control,Execute scene,", THEN set the mode of the air conditioner to [ACTION_X].",Air/Climate,This Trigger fires every time you enter an area you specify.,This Action will execute the indicated scene.
sYnNKRVS,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase [FREE],Daikin Online Controller,Turn AC unit off,", THEN turn off the AC unit [ACTION_W].",Air/Climate,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",This Action will turn off your Daikin AC unit. It will be executed within 1 minute.
tGzTacbS,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase [FREE],GE Appliances Window AC,Turn off AC,", THEN turn off the air conditioner [ACTION_W].",Air/Climate,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",This Action will turn off the air conditioner unit.
tJBxGukK,Weather Underground,Current humidity level rises above,IF local humidity is above a specified value,AC Cloud Control,Execute scene,", THEN set the mode of the air conditioner to [ACTION_X].",Air/Climate,This Trigger monitors your local humidity and fires every time the humidity rises above the value you specify.,This Action will execute the indicated scene.
u5NRbPKH,Fitbit,New sleep logged,IF a device logs new sleep data,AC Cloud Control,Execute scene,", THEN set the mode of the air conditioner to [ACTION_X].",Air/Climate,This Trigger fires every time your Fitbit logs new sleep.,This Action will execute the indicated scene.
vK5xBykF,Amazon Alexa,Say a specific phrase,IF a voice assistant is activated with a specific phrase [FREE],AC Cloud Control,Turn on A/C,", THEN turn on the AC unit [ACTION_X].",Air/Climate,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",This Action will turn your IntesisHome A/C on.
