triggerDesc,actionDesc,freeOrLocked
__UNMATCHED_TRIGGER__ this trigger fires when your device detects the temperature is below the threshold you specified.,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF a known caller calls,", THEN power-cycles a smart switch in [ACTION_X].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires every time your cloudbit receives an input signal from another littlebits module.,", THEN briefly toggles the lights off and on [ACTION_Z].",LOCKED
IF apilio event,", THEN adjusts the brightness of lights [ACTION_Z].",LOCKED
IF Arlo detects motion,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF alexa custom phrase,", THEN activates a lighting scene [ACTION_Y].",LOCKED
IF sunrise approaching,", THEN turns off smart lights [ACTION_W].",LOCKED
IF area entered,", THEN activates a lighting scene [ACTION_Y].",LOCKED
IF google assistant phrase,", THEN adjusts the brightness of lights [ACTION_W].",LOCKED
IF daily schedule,", THEN turns off smart lights [ACTION_W].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires when a device attached to your homeseer system is turned off.,", THEN turns off smart lights [ACTION_W].",LOCKED
IF generic button press,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF weekly schedule,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF Facebook status is posted,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires when specified pir kumosensor detects movement.,", THEN turns on smart lights in [ACTION_X].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires every time the twitter user you specify tweets.,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires every time the clock timer on your cooktop has elapsed.,", THEN turns on the hood lighting [ACTION_Z].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires when a routine is activated.,", THEN turns off smart lights [ACTION_W].",LOCKED
IF weather condition change,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF area exited,", THEN sets lights to a predefined scene [ACTION_Z].",LOCKED
IF weekly schedule,", THEN briefly toggles the lights off and on [ACTION_Z].",LOCKED
IF today weather report,", THEN activates a lighting scene [ACTION_Y].",LOCKED
IF generic button press,", THEN enables [ACTION_X] as lighting mode.",LOCKED
IF Arlo detects motion,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF google assistant phrase,", THEN adjusts the brightness of lights [ACTION_W].",LOCKED
IF weather condition change,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF sunrise approaching,", THEN turns off smart lights [ACTION_W].",LOCKED
IF daily schedule,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF alarm triggered,", THEN turns on the light [ACTION_Y].",LOCKED
IF daily schedule,", THEN turns on smart lights [ACTION_X].",LOCKED
__UNMATCHED_TRIGGER__ this trigger is fired from the assigned pusher on your kronaby watch.,", THEN toggles lights based on current state in [ACTION_X].",LOCKED
IF sunset approaching,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF sunrise approaching,", THEN turns off smart lights [ACTION_W].",LOCKED
IF weekly schedule,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF sunset approaching,", THEN turns on smart lights in [ACTION_X].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires every time a new item is added to the feed you specify.,", THEN briefly toggles the lights off and on [ACTION_Z].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires every time your ecobee thermostat and room sensors change to smart home or smart away comfort profiles.,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF daily schedule,", THEN triggers a light animation effect [ACTION_Z].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires every time a previously-connected device connects to your tp-link router.,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF ifttt hashtag email,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF area exited,", THEN turns off smart lights [ACTION_W].",LOCKED
IF google assistant phrase,", THEN turns off smart lights [ACTION_W].",LOCKED
IF google assistant phrase,", THEN turns off smart lights [ACTION_W].",LOCKED
IF area entered,", THEN turns on a light switch in [ACTION_X].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires every time the wind speed rises above a value you specify in your location.,", THEN triggers a light animation effect [ACTION_Z].",LOCKED
IF daily schedule,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF daily schedule,", THEN turns off smart lights [ACTION_W].",LOCKED
IF weekly schedule,", THEN turns off smart lights [ACTION_W].",LOCKED
IF google assistant phrase,", THEN activates a lighting scene [ACTION_Y].",LOCKED
IF fridge door is open,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF sunset approaching,", THEN turns on smart lights in [ACTION_X].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires every time somebody rings your ring doorbell.,", THEN briefly toggles the lights off and on [ACTION_Z].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires every time a new user starts following you.,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires when an event is triggered from your litter robot. ie. clean cycle completes,", THEN briefly toggles the lights off and on [ACTION_Z].",LOCKED
IF alarm is disarmed,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF alexa custom phrase,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF alexa custom phrase,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF daily schedule,", THEN turns off smart lights [ACTION_W].",LOCKED
"__UNMATCHED_TRIGGER__ this trigger fires every time a song is played on amazon prime music. note: this trigger does not apply to songs provided by spotify, pandora, podcasts and sample clips.",", THEN activates a lighting scene [ACTION_Y].",LOCKED
IF weather condition change,", THEN briefly toggles the lights off and on [ACTION_Z].",LOCKED
IF alexa custom phrase,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
__UNMATCHED_TRIGGER__ this trigger fires every time your netatmo rain gauge detects that it is raining.,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF camera motion,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF spotify save track,", THEN changes the color of lights [ACTION_Y].",LOCKED
IF alexa custom phrase,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF google assistant phrase,", THEN turns off smart lights [ACTION_W].",LOCKED
IF wifi disconnected,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF Android notification is received,", THEN activates a lighting scene [ACTION_Y].",LOCKED
IF sunset approaching,", THEN turns on smart lights [ACTION_X].",LOCKED
__UNMATCHED_TRIGGER__ the otiom tag has entered an alarm state,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF sunrise approaching,", THEN turns off smart lights [ACTION_W].",LOCKED
IF area entered,", THEN triggers a light animation effect [ACTION_Z].",LOCKED
IF sunset approaching,", THEN adjusts the brightness of lights [ACTION_W].",LOCKED
IF weekly schedule,", THEN briefly toggles the lights off and on [ACTION_Z].",LOCKED
IF alexa custom phrase,", THEN sets the color temperature of lights [ACTION_Y].",LOCKED
IF sunset approaching,", THEN toggles the lights on or off [ACTION_Y].",LOCKED
IF alexa custom phrase,", THEN adjusts the brightness of lights [ACTION_W].",LOCKED
IF weekly schedule,", THEN turns off smart lights [ACTION_W].",LOCKED
IF camera motion,", THEN turns on smart lights in [ACTION_X].",LOCKED
IF area entered,", THEN toggles the lights on or off [ACTION_Y].",LOCKED
