id,triggerChannelTitle,triggerTitle,triggerDesc,actionChannelTitle,actionTitle,actionDesc,deviceCategory
CHP4vM8F,Nest Protect,Carbon monoxide emergency,This Trigger fires every time the Nest Protect you specify detects dangerous carbon monoxide levels.,ecobee,Set thermostat comfort profile for X hours,This Action will set the thermostat into a hold using the settings from the specified comfort profile. This comfort profile hold will remain in effect for the specified number of hours.,Thermostat/Heating
CQJqNCDE,Apilio,Receive an event from Apilio,This trigger fires every time IFTTT receives a specific event from Apilio.,Heatmiser,Cancel Standby Mode,This Action will cancel Standby Mode on the selected Heatmiser Thermostat.,Thermostat/Heating
CRAELpwb,Google Assistant,Say a phrase with a text ingredient,This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase like “Post a tweet saying ‘New high score.’” **Use the $ symbol to specify where you'll say the text ingredient,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
CSYbxBFr,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",Hive Active Heating™ - UK and Europe,Boost heating ,This Action will boost heating to the temperature and duration you specify.,Thermostat/Heating
CWA7fdxG,Amazon Alexa,Your Alarm goes off,This Trigger fires every time your alarm goes off.,Heatzy,Set heat mode,This action will set a specific device on heat mode,Thermostat/Heating
CXKktyrG,Apilio,Receive an event from Apilio,This trigger fires every time IFTTT receives a specific event from Apilio.,Heatmiser,Cancel Standby Mode,This Action will cancel Standby Mode on the selected Heatmiser Thermostat.,Thermostat/Heating
CZAvFh2R,Date & Time,Every day at,This Trigger fires every single day at a specific time set by you.,tadoº Heating,Return to tado⁠° automatic control,"This Action will return control of your heating to tado⁠°, using your user-defined settings (e.g. location and Smart Schedule) to automatically determine the right room temperature.",Thermostat/Heating
CZuJLR8E,Amazon Alexa,Item added to your To Do List,This Trigger fires every time you add an item to your To Do List.,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
CbekN7Ks,Caavo,Caavo search,This trigger fires when Caavo Control Center performs any search query.,ecobee,Set thermostat hold for X hours,This action will set the thermostat into a hold with the specified temperature for the specified number of hours.,Thermostat/Heating
CdcWLnRv,Google Assistant,Say a phrase with a text ingredient,This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase like “Post a tweet saying ‘New high score.’” **Use the $ symbol to specify where you'll say the text ingredient,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
CeDtvx7M,Apilio,Receive an event from Apilio,This trigger fires every time IFTTT receives a specific event from Apilio.,Heatmiser,Set Standby Mode,This Action will activate Standby Mode on the selected Heatmiser Thermostat.,Thermostat/Heating
CehCbLtS,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
CgSnqLU3,Location,You enter an area,This Trigger fires every time you enter an area you specify.,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
Chp2wYxW,Apilio,Receive an event from Apilio,This trigger fires every time IFTTT receives a specific event from Apilio.,Nature Remo,Turn on air conditioner,"This action will turn on your air conditioner and set target temperature, AC operation mode and air volume settings.

Note: Please use the Control Home Appliances actions for the button registered by learning mode.",Thermostat/Heating
ChtNEkRi,Location,You enter an area,This Trigger fires every time you enter an area you specify.,Hive Active Heating™ - UK and Europe,Boost heating ,This Action will boost heating to the temperature and duration you specify.,Thermostat/Heating
Ciyp2BGS,Apilio,Receive an event from Apilio,This trigger fires every time IFTTT receives a specific event from Apilio.,Honeywell Total Connect Comfort,Set temperature to a permanent hold,This Action will set your Honeywell thermostat to permanently hold the specified temperature until you change it.,Thermostat/Heating
Cm27RvAQ,Daikin Online Controller,Temperature drops below,This Trigger fires within 15 minutes of detection of the indoor temperature dropping below the specified temperature threshold.,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
CpBm9Jz6,smanos connect,System in home mode,This Triggers fires when your smanos system is armed to stay (home) mode with you and/or your family in the house.,ecobee,Set thermostat comfort profile until next transition,This Action will set the thermostat into a hold using the settings from the specified comfort profile. This comfort profile hold will remain in effect until the next next comfort profile transition in the program.,Thermostat/Heating
CsGZSf67,Weather Underground,Sunset,This Trigger fires within 15 minutes of the sunset in your location.,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
CwWM2JfY,Google Calendar,Event from search starts,"This Trigger fires a set number of minutes before the starting time of an event on your Calendar that contains a specific keyword or phrase in the event’s Title, Description, or Location. Ingredient will be based on the zone set in Google.",Sensibo,Turn A/C on,"Turn your A/C on with a set temperature, mode and fan level.",Thermostat/Heating
D25JCBxU,Button widget,Button press,This trigger fires every time you press the button.,Netatmo Thermostat,Switch schedule,This Action will change the schedule for the corresponding home.,Thermostat/Heating
D27eVAj5,Apilio,Receive an event from Apilio,This trigger fires every time IFTTT receives a specific event from Apilio.,Heatmiser,Set Temperature,The Action will set the temperature on the selected Heatmiser Thermostat.,Thermostat/Heating
D7F5Z4rA,Date & Time,Every day at,This Trigger fires every single day at a specific time set by you.,Honeywell Total Connect Comfort,Set temperature for a period of time,This Action will set your Honeywell thermostat to hold a temperature for a specified period of time. The schedule will resume when the time expires.,Thermostat/Heating
D9htMHwL,Nest Thermostat,Temperature rises above,This Trigger fires every time the temperature rises above a threshold you specify.,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
DDPG5heU,Button widget,Button press,This trigger fires every time you press the button.,ecobee,Set thermostat comfort profile until next transition,This Action will set the thermostat into a hold using the settings from the specified comfort profile. This comfort profile hold will remain in effect until the next next comfort profile transition in the program.,Thermostat/Heating
DFHPYsNz,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",ecobee,Set thermostat hold until next transition,This action will set the thermostat into a hold with the specified temperature and the end date/time will be set to the next climate transition in the program.,Thermostat/Heating
DHhLfW8j,Date & Time,Every day of the week at,This Trigger fires only on specific days of the week at the time you provide.,Wink: Aros,Turn A/C on,This Action will turn your Aros A/C on and set to a temperature you specify.,Thermostat/Heating
DKcWa2tM,Weather Underground,Current temperature rises above,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,AQUAREA Smart Cloud,Change Heat Mode settings,This action will change operation settings for Heat Mode in your device. ,Thermostat/Heating
DPqDta3x,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",Nest Thermostat,Set temperature range,This Action will set a Nest Thermostat in Heat-Cool mode to the temperature range you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
DQDZfz5a,Google Calendar,Event from search starts,"This Trigger fires a set number of minutes before the starting time of an event on your Calendar that contains a specific keyword or phrase in the event’s Title, Description, or Location. Ingredient will be based on the zone set in Google.",Netatmo Thermostat,Set to away mode with a time limit,This Action will set your home to away mode for a time limit you specify.,Thermostat/Heating
DQUzP6qd,Location,You enter an area,This Trigger fires every time you enter an area you specify.,Nest Thermostat,Turn on fan for 15 minutes,This Action will turn on your HVAC system fan for the amount of time you specify in your Nest fan timer setting (default is 15 minutes). NOTE: works only if you have a fan option and Nest is set to Home.,Thermostat/Heating
DQX3pCNt,RescueTime,FocusTime session finishes,This Trigger fires at the end of a Focus Time session.,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
DR3ANX4m,Button widget,Button press,This trigger fires every time you press the button.,Home Connect Fridge Freezer,Activate refrigerator Super Cooling mode,This action will temporarily cool the refrigerator at maximum power.,Thermostat/Heating
DV8BN4nb,ecobee,Thermostat outdoor temperature is less than,This trigger fires every time your ecobee thermostat senses that the outdoor temperature is less than a specific value you supply.,ecobee,Set thermostat comfort profile until next transition,This Action will set the thermostat into a hold using the settings from the specified comfort profile. This comfort profile hold will remain in effect until the next next comfort profile transition in the program.,Thermostat/Heating
Da3gqxWQ,SwitchBot,Motion detected or no motion detected,"When Motion Sensor detected motion or no motion, the SwitchBot motion sensor will try to trigger the service.",Heatzy,Set heat mode,This action will set a specific device on heat mode,Thermostat/Heating
DbXkyZ8H,Google Assistant,Say a phrase with a number,This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase like “Set Nest thermostat to 68.” **Use the # symbol to specify where you'll say the number ingredient,Honeywell Total Connect Comfort,Set temperature for a period of time,This Action will set your Honeywell thermostat to hold a temperature for a specified period of time. The schedule will resume when the time expires.,Thermostat/Heating
DqNE8Yyx,EDF : vos plages tarifaires,Début de plage tarifaire,Ce trigger se déclenche lorsque la plage tarifaire choisie commence dans votre logement.,Netatmo Thermostat,Switch schedule,This Action will change the schedule for the corresponding home.,Thermostat/Heating
DqQtbf2H,Nuki Smart Lock,Arrive home,This trigger fires every time someone unlocks the door with Auto Unlock.,Heatzy,Set heat mode,This action will set a specific device on heat mode,Thermostat/Heating
DtDUJWvg,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",tadoº Heating,Turn heating on,This Action will start your heating.,Thermostat/Heating
Du2dwsQW,Weather Underground,Sunrise,This Trigger fires within 15 minutes of the sunrise in your location.,Mysa Thermostat,Change the setpoint,This action will change the setpoint of a device to the desired value.,Thermostat/Heating
Dxzi4T2h,Button widget,Button press,This trigger fires every time you press the button.,Warmup Smart Thermostat,Set temperature,This action will set your thermostat to a specified temperature.,Thermostat/Heating
DyQX9wRM,Location,You exit an area,This Trigger fires every time you exit an area you specify.,Mysa Thermostat,Change the setpoint,This action will change the setpoint of a device to the desired value.,Thermostat/Heating
EAFifbkC,True Energy Smart Home Norway,Electricity in Norway is Expensive,This trigger fires at the hours where electricity in Norway is expensive.,Home Connect Fridge Freezer,Set freezer temperature,This action will set the freezer temperature.,Thermostat/Heating
EBtXfDbN,Location,You enter an area,This Trigger fires every time you enter an area you specify.,Heatmiser,Set Temperature,The Action will set the temperature on the selected Heatmiser Thermostat.,Thermostat/Heating
EGWSsTLh,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",Honeywell Total Connect Comfort,Set temperature for a period of time,This Action will set your Honeywell thermostat to hold a temperature for a specified period of time. The schedule will resume when the time expires.,Thermostat/Heating
EL8zVkhx,Nest Protect,Smoke alarm warning,This Trigger fires every time the Nest Protect you specify detects warning smoke levels.,Nest Thermostat,Turn on fan for 15 minutes,This Action will turn on your HVAC system fan for the amount of time you specify in your Nest fan timer setting (default is 15 minutes). NOTE: works only if you have a fan option and Nest is set to Home.,Thermostat/Heating
EM7X9xqQ,Location,You exit an area,This Trigger fires every time you exit an area you specify.,Hive Active Heating™ - UK and Europe,Turn off thermostat ,This Action will set the heating mode to off.,Thermostat/Heating
EPD2npwT,Apilio,Receive an event from Apilio,This trigger fires every time IFTTT receives a specific event from Apilio.,Heatmiser,Cancel Standby Mode,This Action will cancel Standby Mode on the selected Heatmiser Thermostat.,Thermostat/Heating
EQk9bMGA,ComEd,Peak Time Savings - Savings Hours Announced,This trigger activates whenever Peak Time Savings Hours are announced and during various stages of an event.,ecobee,Set thermostat comfort profile for X hours,This Action will set the thermostat into a hold using the settings from the specified comfort profile. This comfort profile hold will remain in effect for the specified number of hours.,Thermostat/Heating
EfmJCYcA,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
EgGXeZ8C,ComEd,Manage your Carbon Footprint - Change in carbon intensity,"This trigger fires whenever the carbon intensity changes for the ComEd service territory, use this trigger to help lower your carbon footprint by reducing your energy during high carbon times",ecobee,Resume thermostat program,This Action removes the currently running event on the selected thermostat providing the event is not a mandatory demand response event.,Thermostat/Heating
Egu9M5Zh,EDF : vos plages tarifaires,Début de plage tarifaire,Ce trigger se déclenche lorsque la plage tarifaire choisie commence dans votre logement.,Netatmo Thermostat,Switch schedule,This Action will change the schedule for the corresponding home.,Thermostat/Heating
Eh2dRs5p,abode,Mode changed,"This trigger fires when your abode system mode is changed (Away, Home, Standby).",ecobee,Set thermostat comfort profile until next transition,This Action will set the thermostat into a hold using the settings from the specified comfort profile. This comfort profile hold will remain in effect until the next next comfort profile transition in the program.,Thermostat/Heating
F6BwDnj7,Location,You enter an area,This Trigger fires every time you enter an area you specify.,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
FBWZpmqz,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
FEipUReL,Location,You exit an area,This Trigger fires every time you exit an area you specify.,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
FGBUNzr8,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
FHNwQxA3,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
FHyz5UGA,Weather Underground,Sunrise,This Trigger fires within 15 minutes of the sunrise in your location.,Nest Thermostat,Turn on fan for 15 minutes,This Action will turn on your HVAC system fan for the amount of time you specify in your Nest fan timer setting (default is 15 minutes). NOTE: works only if you have a fan option and Nest is set to Home.,Thermostat/Heating
FKkZgMda,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",Honeywell Total Connect Comfort,Set temperature for a period of time,This Action will set your Honeywell thermostat to hold a temperature for a specified period of time. The schedule will resume when the time expires.,Thermostat/Heating
FQpfmZrL,Weather Underground,Sunrise,This Trigger fires within 15 minutes of the sunrise in your location.,Nest Thermostat,Turn on fan for 15 minutes,This Action will turn on your HVAC system fan for the amount of time you specify in your Nest fan timer setting (default is 15 minutes). NOTE: works only if you have a fan option and Nest is set to Home.,Thermostat/Heating
FU8xbMse,smanos connect,System armed,This Trigger fires when your smanos system is armed to away mode with no one in the house.,Hive Active Heating™ - UK and Europe,Turn off thermostat ,This Action will set the heating mode to off.,Thermostat/Heating
FYscf9WB,Weather Underground,Current temperature rises above,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,LightwaveRF Heating,Set temperature,This Action will set the temperature of a thermostat or thermostatic radiator valve (TRV).,Thermostat/Heating
Fb5DAL8y,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",Hive Active Heating™ - UK and Europe,Turn off thermostat ,This Action will set the heating mode to off.,Thermostat/Heating
FeFiRvq6,Date & Time,Every day at,This Trigger fires every single day at a specific time set by you.,Hive Active Heating™ - UK and Europe,Set the thermostat to schedule,This Action will set the heating mode to schedule.,Thermostat/Heating
FvZTCHV6,Location,You enter an area,This Trigger fires every time you enter an area you specify.,Netatmo Thermostat,Go back to schedule,This Action will order your home to go back to default schedule.,Thermostat/Heating
FxTPYtbv,Google Assistant,Say a phrase with a text ingredient,This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase like “Post a tweet saying ‘New high score.’” **Use the $ symbol to specify where you'll say the text ingredient,Nest Thermostat,Set temperature,This Action will set a Nest Thermostat to the temperature you specify. NOTE: works only when Nest is set to Home.,Thermostat/Heating
FxWKuhPE,Weather Underground,Current temperature rises above,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,GE Appliances Window AC,Set target temperature,This Action will set a target temperature on your window ac unit.,Thermostat/Heating
FyL2rbqB,Email,Send IFTTT an email tagged,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment (up to 30MB) and IFTTT will create a public URL to the file as an Ingredient.,Sensibo,Turn A/C on,"Turn your A/C on with a set temperature, mode and fan level.",Thermostat/Heating
FzFG36pr,Apilio,Receive an event from Apilio,This trigger fires every time IFTTT receives a specific event from Apilio.,Hive Active Heating™ - UK and Europe,Set thermostat to a specific temperature in current mode,This Action will set thermostat to a specific temperature in current mode,Thermostat/Heating
FzHxGh9R,Date & Time,Every hour at,"This Trigger fires once an hour at :00, :15, :30, or :45 minutes past the hour.",tadoº Heating,Return to tado⁠° automatic control,"This Action will return control of your heating to tado⁠°, using your user-defined settings (e.g. location and Smart Schedule) to automatically determine the right room temperature.",Thermostat/Heating
G4dg7bsT,Google Calendar,Event from search starts,"This Trigger fires a set number of minutes before the starting time of an event on your Google Calendar that contains a specific keyword or phrase. The search looks at the event’s Title, Description, and Location.",ecobee,Set thermostat comfort profile until next transition,This Action will set the thermostat into a hold using the settings from the specified comfort profile. This comfort profile hold will remain in effect until the next next comfort profile transition in the program.,Thermostat/Heating
G8jJPzv5,EDF : vos plages tarifaires,Début de plage tarifaire,Ce trigger se déclenche lorsque la plage tarifaire choisie commence dans votre logement.,Netatmo Thermostat,Switch schedule,This Action will change the schedule for the corresponding home.,Thermostat/Heating
G8vbP6AZ,SmartHours,OGE SmartHours price changes,This trigger fires when there is a price change.,Honeywell Total Connect Comfort,Set temperature to a permanent hold,This Action will set your Honeywell thermostat to permanently hold the specified temperature until you change it.,Thermostat/Heating
GA7fCmpv,Foursquare,New check-in tagged,This trigger fires every time you check in on Foursquare or Swarmwith a single hashtag in the shout (e.g. #IFTTT).,Wink: Aros,Turn A/C on,This Action will turn your Aros A/C on and set to a temperature you specify.,Thermostat/Heating
GBuTHfSe,Button widget,Button press,This trigger fires every time you press the button.,ecobee,Set thermostat hold for X hours,This action will set the thermostat into a hold with the specified temperature for the specified number of hours.,Thermostat/Heating
GHNhTDyA,Weather Underground,Current temperature rises above,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Hive Active Heating™ - UK and Europe,Set mode to manual at a specific temperature,This Action will set thermostat to manual at a specific temperature indefinitely.,Thermostat/Heating
